annotation_ref;uncertain;bird;behaviour;location;others;association;notes
155;;S00;flying away;d tree;un, T85;being followed by;
156;;S00;perched, preening;d tree;;;
157;;S00;perched, calls in background;d tree;alone;;
158;;S16;perched, food in beek;d tree;alone;;
159;;S16;perched, calls in background;d tree;alone;;
160;;S16;flying away;d tree;UK;being followed by;
161;;S21;foraging;d tree;S43;same tree;
162;;S21;perched, other bird left;d tree;S43;left;
163;;J21;foraging, response;ground;UK;same flock;
164;;J21;perched;d tree;S30, S43, K33, J02;same tree;
165;;J21;flying down in tree;d tree;;;
166;;K33;perched;d tree;;;
167;;K33;flying away;d tree;;;
168;;J21;scared from tree by me;d tree;;;
169;;H40;scared from tree by me;d tree;;;
170;;R20;at nest;13A1;;;
171;;S07;perched;d tree;;;
172;;S07;flying to nest;13A1;;;
173;;T11;perched;d tree;;;
174;;S45;perched;d tree;S46;same tree;
175;;S46;perched, chatter;d tree;S45;same tree;
176;;S46;flying between trees;d tree;S45;following;
177;;S45;walking through tree;d tree;S46;same tree;
178;;S32;perched;28;;;
179;;S32;perched, chatter;28;;;
180;;L80;perched;29;;;
181;;L80;perched, calls in background;29;;;
182;;L80;flying away;29;;;
183;;L80;perched, preening;d tree;;;
184;;L80;perched;d tree;;;
185;;K75;perched, maybe call response;d tree;un;closeby;
186;;R63;flying in tree;d tree;alone;;
187;;R63;perched;d tree;alone;;very close!
188;;R63;moving around in tree;d tree;alone;;
189;;T84;perched;d tree;;;
190;;H87;perched;d tree;;;
191;;H87;perched, calls in background;d tree;;;
192;;H87;perched, call response;d tree;;;
193;;H87;flying between trees;d tree;;;
194;;H87;perched;pine;;;
195;;H87;perched, calls in background;pine;;;
196;;T81;response growl;d tree;un;first to call;
197;;T97;in chorus;d tree;T99, K70;same tree;
198;;T97;perched, calls in background;d tree;T99, K70;same tree;
199;;T97;perched, calls in background;d tree;T99, K70, S56;same tree;
200;;S56;flying closer to;d tree;T97;target;missing part sequence due to contact call
201;;E23;perched;37;D39;same tree;
202;;D39;flying to nest;37A3;E23;same tree;
203;;K47;perched, call response;d tree;un;same tree;
204;;K47;perched, calls in background;d tree;un;same tree;
205;;J02;perched;25;K76, un;same tree;
206;;I94;perched, preening;25;J02;sitting touching;
207;;J02;perched, preening;25;I94;sitting touching;
208;;M68;perched nest;2A;;;
209;;S48;flying between trees;d tree;un, un, un, un, un, un;same tree;
210;;S48;flying away;d tree;;;
211;;T44;perched nest;35B;un;same nest;
212;;T44;perched nest;;;;
213;;T44;perched nest;;un;arriving at nest;
214;;T44;perched, call response;;un;same nest;
215;;J71;responding to contact call;28;;;
216;;J71;perched, calls in background;28;;;
217;;S38;perched;d tree;un;same tree;
218;;S38;perched, call response;d tree;un;same tree;
219;;S38;flying away;d tree;;;
220;;S30;flying away;d tree;;;
221;;S33;flying down to ground;d tree;T93;following;
222;;T03;perched;d tree;alone;;
223;;E45;perched;d tree;alone;;
224;;I80;perched;bush;E45;same tree;
225;;I80;flying down in tree;bush;;;
226;;H38;arriving;bush;I80;same tree;
227;;I80;perched;bush;H38, T03;same tree;
228;;T03;flying away with stick;bush;I80;same tree;
229;;I80;climbing through tree;bush;;;
230;;T97;perched;d tree;;;
231;;T97;perched, calls in background;d tree;;;
232;;T97;loud calls, excited, just before leaving;d tree;UK, UK;leaving nest closeby;
233;;T97;leaving after loud calls;d tree;;;
234;;E87;perched;d tree;;;
235;;E87;perched, calls in background;d tree;;;
236;;E87;perched, call response;d tree;;;
237;;S15;walking through tree;d tree;;;
238;;S15;perched, calls in background;d tree;;;
239;;S15;stick in mouth;d tree;;;
240;;S15;perched;d tree;;;
241;;H51;perched;d tree;alone;;
242;;H51;flying away;d tree;alone;;
243;;U28;perched;d tree;;;
244;;U28;flying between trees;d tree;;;
245;;U28;looking at me;d tree;;;
246;;U28;flying away;d tree;;;
247;;S21;perched;d tree;many others;same tree;
248;;S27;perched;d tree;many others;same tree;
249;;K17;flying away;ground;S02, un, S38;ground;
250;;K17;perched;d tree;;;
251;;K46;flying closer to;d tree;H87;same tree;
252;;I00;perched, call response;27A1;;;
253;;E59;perched, calls in background;d tree;I87;same tree;
254;;I87;perched, calls in background;d tree;E59;same tree;
255;;E93;perched, calls in background;d tree;many others;same tree;
256;;S52;perched;d tree;S51;same tree;
257;;T44;perched;d tree;un, un, D39;same tree;
258;;T69;perched;d tree;;;
259;;T69;flying away;d tree;;;
260;;H67;perched;d tree;;;
261;;P75;flying away;;;;
262;;E45;perched, call response;d tree;un, un, un, un, H87;same tree;
263;;T03;arriving;d tree;;;
264;;T03;perched;d tree;stump;same tree;
265;;S30;perched;38;un, E87, E89;same tree;
266;;T74;perched;d tree;un, UK, S06;same tree;
267;;S06;flying away;d tree;un, G73;same tree;
268;;G73;flying away;d tree;un;same tree;
269;;T87;perched;d tree;alone;;
270;;T87;perched, looking down at me;d tree;alone;;
271;;T87;flying away;d tree;alone;;
272;;U24;flying away, me too close;d tree;;;
273;;K70;perched, calls in background;15;T97, U20;same tree;
274;;T97;perched, calls in background;;;;
275;;S48;perched;d tree;;;
276;;S48;flying away;d tree;;;
277;;J71;perched;d tree;;;
278;;J71;perched, calls in background;d tree;;;
279;;I00;perched;d tree;S57, P69;same tree;
280;;I00;perched, calls in background;d tree;S57, P69;same tree;
281;;I00;perched, call response;d tree;S57, P69;same tree;
282;;T54;perched;d tree;;;
283;;T54;perched, looking around;d tree;;;
284;;T03;foraging;grass;;;
285;;K46;flying away;d tree;un, UK;following;
286;;C54;perched, calls in background;d tree;un;calling in same tree;
287;;C54;perched, call response;d tree;un;calling in same tree;
288;;C54;flying away;d tree;;;
289;;T48;flying away;;;;
290;;J46;perched;7;UK;in nest;
291;;R20;perched;13;;;
292;;S49;perched;d tree;K48, T90;same tree;
293;;T90;perched;d tree;UK;same tree;
294;;T90;flying away;d tree;UK;following;
295;;S00;perched;d tree;;;
296;;S10;perched;d tree;;;
297;;S10;perched, calls in background;d tree;;;
298;;S10;flying down to ground;d tree;;;
299;;S24;perched;d tree;;;
300;;S24;flying away;d tree;;;
301;;E87;foraging;d tree;S24, un;same tree;
302;;I73;in nest;28C1;;;
303;;J36;perched;d tree;alone;;
304;;K47;perched, calls in background;d tree;;;
305;;S24;;;;;
306;;S24;perched, call response;;;;
307;;R83;perched;nest;S24;in nest;
308;;I49;perched, calls in background;palm;;;
309;;K41;;;;;
310;;K41;perched, call response;;;;
311;;G32;building;24C;;;
312;;E59;at nest;24C1;;;
313;;H38;foraging;palm;J71, un, un, S17, T94, S34;same tree;
314;;S34;foraging;palm;T99, E01, T94;same tree;
315;;S00;perched;d tree;S16;within 20 cm, just before preening;
316;;S00;perched, call response;d tree;S16;touching;
317;;T54;perched;d tree;;;
318;;N77;at nest;24C;N74;joining right after;
319;;L22;at nest;24F1;;;
320;;L22;at nest, call response;24F1;;;
321;;L22;at nest, stick in mouth;24F1;;;
322;;I93;perched, call response;25;;;
323;;K76;flying between branches;25;E93;same tree;
324;;K41;;10A;;;
325;;K41;flying down in tree;10A;;;
326;;K41;perched, nest chatter;10A;;;
327;;K41;perched, call response;10A;;;
328;;R87;flying away with stick;palm;;;
329;;R87;in nest;20A1;;;
330;;R87;building at nest;20A1;;;
331;;R87;building at nest, calls in background;20A1;;;
332;;T81;in nest;19A1;un;same nest, touching;
333;;T81;building at nest;19A1;;;
334;;R20;leaving nest;13A1;;;
335;;R20;perched, chatter, exited;13A1;;;
336;;R20;building at nest, calls in background;13A1;;;
337;;R20;building at nest;13A1;;;
338;;R20;nest chatter;13A1;;;
339;;H40;peched, call response;palm;;;
340;;H40;perched, calls in background;palm;;;
341;;E88;perched, calls in background;palm;;;
342;;I87;perched, calls in background;24;;;
343;;I87;perched;24;;;
344;;N23;perched, before moving to other;d tree;DX6;close;
345;;S40;perched;d tree;;;
346;;S40;perched, calls in background;d tree;;;
347;;L14;perched;24;;;
348;;L14;perched, calls in background;24;;;
349;;N77;building at nest;;;;
350;;N77;flying up in tree;24;;;
351;;S17;flying to;roof;;;
352;;S17;flying to;24;;;
353;;S15;perched;d tree;;;
354;;T77;perched, calls in background;d tree;;;
355;;J21;;37;;;
356;;K70;perched;15A;;;
357;;K70;chatter;15A;;;
358;;I87;perched, calls in background, looking down at me;24B;;;
359;;S16;perched;d tree;S54;close in same tree;
360;;E87;flying away;grass;;;
361;;E88;perched;d tree;;;
362;;E88;flying away;d tree;;;
363;;T96;perched, agitated;d tree;multiple;around;
364;;S37;flying away, scared by me;d tree;;;
365;;J02;perched;d tree;un, S17;same tree;
366;;S17;perched;d tree;S55, un;same tree;
367;;S17;perched;d tree;S55, un;same tree;
368;;S17;flying away, following contact call;d tree;;;
369;;I49;flying away;palm;;;
370;;T96;flying away;13A2;;;
371;;T99;perched;;;;
372;;T99;perched, after being replaced from nest;palm;;;
373;;T99;flying between trees;palm;;;
374;;T99;perched;d tree;;;
375;;K46;just before take off;d tree;un;flying away together;
376;;I06;perched, call response;32C1;;;
377;;P51;perched, calls in background;32;;;
378;;SX0;foraging;d tree;;;
379;;K48;perched, calls in background;30A;;;
380;;J70;foraging;d tree;S04, X;same tree;
381;;J70;flying away;d tree;S04, X;following;
382;;S21;flying away;ground;;;
383;;T62;flying away;d tree;alone;;
384;;T72;perched;d tree;;;
385;;T72;flying between trees;d tree;;;
386;;P69;perched;24E;UK, UK;in nest;
387;;E59;arriving with stick;24C1;;;
388;;E59;building at nest;24C1;;;
389;;E59;flying away;24C1;G32;followed by;
390;;H87;perched;d tree;un;closeby;
391;;K89;flying away with stick;d tree;H87;closeby;
392;;T38;flying away;d tree;alone;;
393;;S30;perched, calls in background;d tree;T86;same tree;
394;;T96;flying away;d tree;un;same tree;
395;;S30;perched, preening;d tree;T96, un;same tree;
396;;S30;flying away;d tree;;;
397;;T21;perched;36D;UK;in nest;
398;;P58;perched, preening, calls in background;29;UK, UK;same tree;
399;;I73;perched;28;;;
400;;T81;building nest, call response;19A1;;;
401;;T81;building nest, calls in background;19A1;;;
402;;T81;building in nest, calls in background;19A1;;;
403;;T81;stick in mouth;19A1;;;
404;;T81;flying between trees;19A1;;;
405;;L35;flying away with fruit in mouth;palm;;;
406;;E23;perched, call response;37A;;;
407;;T11;perched, looking down at me;d tree;;;
408;;I87;perched;24;;;
409;;S54;perched, calls in background;d tree;un;tree closeby;
410;;S54;flying away;d tree;;;
411;;J43;perched, calls in background;18A;;;
412;;J43;perched, call response;18A;;;
413;;J43;flying away;18A;UK;following;
414;;T90;perched outside nest;5A6;T63;building in nest;
415;;T90;building at nest;5A6;T63;building in nest;
416;;T90;flying between trees;5A6;T63;building in nest;
417;;J46;in nest, building;7A1;J13;same nest, touching;
418;;R87;perched, call response;d tree;;;
