annotation_ref;uncertain;bird;behaviour;location;others;association;notes
661;;I87;walking in tree;d tree;S10;same tree;
662;;S10;flying away;d tree;I87;same tree;
663;;I87;perched, call response, just before S10 flies away;d tree;S10;same tree;
664;;I87;foraging on buds;d tree;;;
665;;I87;flying between trees;d tree;;;
666;;L14;flying away;palm;;;
667;;C54;perched, calls in background;29A;;;L80 arrived later
668;;C54;building on nest;29A;;;L80 arrived later
669;;C54;building in nest;29A;;;L80 arrived later
670;;C54;in nest;29A;L80;at same nest;
671;;S15;perched, call response to partner?;tree;un;calling closeby;un later joins this birds
672;;S15;perched, calls in background;tree;un;calling closeby;un later joins this birds
673;;T48;flying;air;;;
674;;T48;perched;d tree;alone;;
675;;T48;flying away;d tree;alone;;
676;;N23;peched;41A;;;
677;;N23;perched, just before arrival new bird;41A;;;
678;;M38;perched;14A;;;
679;1;M38;walking in tree, call response;14A;;;
680;;M38;perched, looking around, contact calls closeby;14A;UK;calling closeby;
681;;K41;perched;d tree;I49;same tree;
682;;K41;perched, calls in background;d tree;I49;same tree;
683;;K41;perched, call response;d tree;I49;same tree;
684;;I49;perched, preening;d tree;;;
685;;T24;perched above foraging flock;;;;
686;;T71;flying away;ground;;;
687;;T21;perched;36D;;;
688;;T21;perched, just before arrival new bird;36D;;;
689;;T21;perched;36D;UK;same nest;
690;;T21;perched, call response to partner?;36D;UK;same nest;
691;;H86;perched, preening, calls in background;36D;T71;closeby, foraging;
692;;T21;foraging;tree;H86;closeby at nest;
693;1;E23;flying away;d tree;D39;following;
694;;I73;perched, call response;28C;stump;sitting touching;
695;;T87;perched;d tree;stump, I73;closeby;
696;;I73;perched, call response to T87;28C;stump, T87;preening other, calling from closeby;
697;;T87;perched, call response;d tree;stump, I73;closeby;
698;;I73;perched, call response to T87;28C;stump, T87;sitting touching, calling from closeby;
699;;T87;flying between trees;d tree;stump, I73;closeby;
700;;J71;perched;28;stump, I73, T87, S32, P76;closeby;
701;;J71;perched, call response;28;stump, I73, T87, S32, P76;closeby;
702;;J71;perched, calls in background;28;stump, I73, T87, S32, P76;closeby;
703;;I04;eating branch, call response;d tree;un;in tree closeby;
704;;I04;stick in mouth, calls in background;d tree;un;in tree closeby;
705;;S57;perched, calls in background;24E;P69;at same nest;being responded to by others
706;;E59;flying out of nest;24C1;P69, S57;same tree;maybe left because of me
707;;P69;in nest;24E;;;
708;;P69;building at nest;24E;;;
709;;P69;perched, call response;24E;;;
710;;P69;flying away, response to call;24E;;;
711;;I87;perched, call response;d tree;un;same tree;
712;;I87;flying between trees;d tree;un;same tree;
713;;K48;leaving nest;30A;S49;following;
714;;I28;flying up from ground;ground;un, P51, T03;on ground;
715;;P51;walking in tree, above foraging flock;d tree;;;
716;;H38;perched;d tree;un;same tree;
717;;H38;flying down to ground;d tree;un;following;
718;;S54;flying away;d tree;;;
719;;T71;perched;9;R18;sitting very close;
720;;E87;perched above foraging flock, calls in background;d tree;;;
721;;J70;stick in mouth;bush;T69, P64;same bush;
722;;E67;perched above foraging flock, calls in background;d tree;H38, I12;closeby;
723;;T71;perched, calls in background;9A2;R18;in nest;
724;;T71;flying between trees;9A2;R18;in nest;
725;;T71;perched;d tree;R18;in nest closeby;
726;;T71;perched, call response;d tree;R18;in nest closeby;
727;;T71;perched, calls in background;d tree;R18;in nest closeby;
728;;U20;perched;14A1;K70;in nest;
729;;K70;perched;14A1;U20;in nest;
730;;K70;flying between trees;14A1;U20;following;
731;;K70;building on nest, calls in background;14A1;;;
732;;K70;in nest, call response;14A1;;;
733;;K70;in nest;14A1;;;
734;;P64;perched;bush;;;
735;;J78;arriving;bush;;;
736;;J78;flying between bushes;bush;;;
737;;J78;perched;bush;;;
738;;J78;flying between branches;bush;;;
739;;P64;perched;d tree;;;
740;;K46;flying between bushes;bush;un, H87;same bush;
741;;H87;flying between branches, maybe I too close;bush;un;same bush;
742;1;E84;arriving;bush;H87, un;same bush;
743;;I49;perched;d tree;;;
744;;I49;flying away;d tree;UK;following from other tree;
745;;M12;perched;d tree;un;closeby;
746;;S06;perched;d tree;T92;sitting close;
747;;T99;flying between trees;d tree;S11;closeby;
748;;T99;sitting down;d tree;S11;closeby;
749;;S11;perched;d tree;T99;closeby;
750;;S11;flying between trees;d tree;T99;closeby;
751;;T99;flying to same tree;d tree;S11;already in tree;
752;;S11;walking in tree;d tree;T99;same tree;
753;;S11;flying between branches;d tree;T99;same tree;
754;;S11;flying between trees;d tree;T99;following;
755;;S11;perched;d tree;T99;following;
756;;S21;flying between branches;d tree;;;
757;;S48;perched;bush;stump, X;same bush;
758;;S48;flying away, scared by me;bush;stump, X;same bush;
759;;K87;perched ;d tree;K48;closeby;
760;;I49;perched, calls in background;d tree;T71;calling closeby;
761;;T71;perched, calls in background;d tree;I49;calling closeby;
762;;T71;perched, calls in background;d tree;I49;same tree, calling;
763;;I49;perched, calls in background;d tree;T71;same tree, calling;
764;;I49;perched, calls in background;d tree;T71, U20;same tree;
765;;T71;perched, calls in background;d tree;I49, U20;same tree;
766;;T71;perched, call response;d tree;I49, U20;same tree;
767;;;;;;;
768;;;;;;;
769;;;;;;;
770;;;;;;;
771;;;;;;;
772;;;;;;;
773;;;;;;;
774;;;;;;;
775;;;;;;;
776;;;;;;;
777;;;;;;;
778;;;;;;;
779;;;;;;;
780;;;;;;;
781;;;;;;;
782;;;;;;;
783;;;;;;;
784;;;;;;;
785;;;;;;;
786;;;;;;;
787;;;;;;;
788;;;;;;;
789;;;;;;;
790;;;;;;;
791;;;;;;;
792;;;;;;;
793;;;;;;;
794;;;;;;;
795;;;;;;;
796;;;;;;;
797;;;;;;;
798;;;;;;;
799;;;;;;;
800;;;;;;;
801;;;;;;;
802;;;;;;;
803;;;;;;;
804;;;;;;;
805;;;;;;;
806;;;;;;;
807;;;;;;;
808;;;;;;;
809;;;;;;;
