tree;nest;entry;birds;birds_observed_in_nest;birds_observed_at_nest
32;A;3;E45, T03;E45, T03;HXX, I80
32;B;1;H38;;X, X
32;C;1;I06, H43;I06, X, X, H43;X, un, I0X
32;D;1;I80, T80;TXX, I80, T80, I80, I80, T0X;T51, PX1
32;D;2;;;PX1, un
32;D;3;;NA;NA
32;D;4;;NA;NA
33;A;1;K52, P75;K52, K52, K52, K52, X, X, P75;P75, P75
33;B;1;;;E88
33;C;1;;NA;NA
33;D;1;;NA;NA
33;D;3;;PX1;
33;E;1;;E88;
33;E;2;;NA;NA
34;A;1;;un, un, un, un, un, un, un, un, un, un;
34;A;2;;un;
35;A;1;;NA;NA
35;B;1;un, T44;un, un, un, un, T44;T44
36;A;1;;KXX;
36;A;2;;NA;NA
36;B;1;;un, un, un, un;
36;C;1;;un;
36;D;1;T21, S28;T21, X, X, S28;SX7, un, S47, S28, X, un, un
36;E;1;;NA;NA
36;F;1;un, K87;un, K87, un, K87;KXX
36;G;1;;NA;NA
37;A;1;;D39;
37;A;2;un, J78;un, J78, un, un;D39, E23, D39, X
37;A;3;D39, E23;D39, E23, D39;
37;A;4;;un, un;
37;B;1;J21, un;D39, J21, un, D39, un;J21, X39, E23, X, unknown
37;C;1;E41, un;E41, un;un
38;A;1;E87, un;E87, un, un, un, un;E89
39;A;1;S19, S01, un;S19, un, S01, un, un;
40;A;1;;NA;NA
41;A;1;;S34, S34;
41;A;2;S34, R83;R83, S34, R8/63, S34, S34, R83, S34, S34, S34;unknown
41;A;3;;NA;NA
41;A;4;;NA;NA
42;A;1;;NA;NA
43;A;1;;X;
44;A;1;;NA;NA
44;B;1;;NA;NA
44;C;1;;NA;NA
44;D;1;;NA;NA
45;A;1;;X;
45;B;1;;NA;NA
45;C;1;;NA;NA
45;D;1;;NA;NA
45;E;1;;NA;NA
45;F;1;;NA;NA
45;G;1;;NA;NA
46;A;1;;NA;NA
46;B;1;;NA;NA
46;C;1;;NA;NA
46;D;1;L23, un;L23, un, L23;
46;D;2;;un, L23;un
46;E;1;;NA;NA
46;F;1;;NA;NA
46;G;1;;NA;NA
46;H;1;;NA;NA
46;I;1;;NA;NA
46;J;1;;un;
47;A;1;;un;
48;A;1;;unknown;un
49;A;1;;un, un;
50;A;1;;NA;NA
51;A;1;;NA;NA
52;A;1;;un;
53;A;1;;NA;NA
54;A;1;;un, un;
54;A;2;;un, un;
55;A;1;K96, un;K96, un, un;S15
55;A;2;;un;
55;A;3;S15;S15;
55;A;4;;un;
55;A;5;;un;
55;A;6;;NA;NA
55;A;7;;un, un;
55;A;8;;NA;NA
56;A;1;;;X88
57;A;1;;NA;NA
57;B;1;;NA;NA
57;C;1;;NA;NA
57;D;1;;NA;NA
57;E;1;;NA;NA
57;F;1;;NA;NA
57;G;1;;NA;NA
58;A;1;;un;un
58;A;2;;NA;NA
59;A;1;;NA;NA
59;B;1;;un, X;
60;A;1;;NA;NA
61;A;1;;NA;NA
61;A;2;;NA;NA
62;A;1;;un, un, un;
63;A;1;;NA;NA
64;A;1;;X;un
65;A;1;;NA;NA
65;B;1;;NA;NA
66;A;1;T88;T88, X;
67;A;1;;NA;NA
68;A;1;;NA;NA
69;A;1;;NA;NA
70;A;1;;un;
71;A;1;K49;K49, K49, K49;un
72;A;1;;NA;NA
73;A;1;;NA;NA
74;A;1;;NA;NA
75;A;1;;un + un, unknown;S21, S43
76;A;1;;X;
77;A;1;;NA;NA
77;B;1;;un;
78;A;1;P68, K64;P68, K64;
79;A;1;;NA;NA
80;A;1;;un, un;
81;A;1;;J56;
81;A;2;P12, J56;P12, P12, J56, J56;
82;A;1;;NA;NA
82;A;2;;NA;NA
83;A;1;;un, un, un, un, un, un;
83;A;2;;NA;NA
84;A;1;T74, T72;T74, T72, T74, T74, T72, T72;
