id;tree_manual;nest_manual;area;final_nest;nest_locations
918;40;;;40;40_NA_NA
988;;;;;
B19;;;;;
C54;29;29 A 1;;29A1;29_A_1, 29_A_1, 29_A_NA, 29_A_1, 29_A_1, 29_A_1, 29_A_NA, 29_A_1
C55;;;;;
D39;37;37 A 3;;37A1+3;37_B_1, 37_A_3, 37_A_3, 37_A_1, 37_A_2, 37_A_2, 37_NA_NA, 37_A_NA, 37_A_NA, 37_A_NA, 37_A_NA, 37_B_NA
D43;;;;;
D76;;;;;
D86;13;13 A 3;;;13_A_NA, 13_A_NA, 13_A_3, 14_A_NA, 13_A_3, 13_A_3, 12_A_4, 13_A_NA, 12_A_NA, 13_A_NA, 13_A_NA, 13_A_3, 12_A_NA, 13_A_NA, 13_A_3, 13_A_3
D96;;;;;
E01;14;14 A 1;;;14_A_4, 14_A_1, 14_A_NA, 14_A_NA, 14_A_NA, 14_A_NA
E23;37;37 A 3;;;37_A_3, 37_A_2, 37_A_NA, 37_B_1, 37_A_NA, 37_A_NA, 37_B_NA
E36;4;4 A 2;;;4_A_3, 4_A_2, 4_A_2, 4_A_NA, 4_A_NA, 4_A_2, 4_A_2, 4_NA_NA, 1_A_NA, 5_A_NA, 4_A_5
E41;37;37 C 1;;;37_NA_NA, 37_C_1, 37_C_NA
E45;32;32 A 1;;;32_A_3, 32_A_1_2, 32_A_1_2, 32_A_NA, 32_A_1, 32_A_NA, 32_A_1
E46;;;;;
E59;24;24 C 1;;;24_C_1, 24_C_2, 24_C_1, 24_C_1, 24_C_1, 24_C_NA, 24_C_NA, 24_C_1, 24_C_1, 24_C_NA, 24_C_1, 24_C_NA
E67;33;;;;33_E_NA
E71;;;;;
E84;39;;;;39_A_NA
E87;38;38 A 1;;;38_A_1, 39_A_NA
E88;33;33 A 1;;;38_NA_NA, 33_B_1, 33_D_NA, 33_E_1, 39_A_NA, 32_D_NA
E89;38;38 A 1;;;38_A_1
E93;;;;;
F23;;;;;37_A_NA
G32;24;24 C 1;;;24_C_2, 24_C_NA, 24_C_1, 24_C_1, 24_C_1, 24_C_NA, 24_E_NA, 24_C_1, 24_C_1, 24_C_NA, 24_C_1, 24_C_NA
G33;;;;;
G73;25;25 E 1;;;25_E_1
G74;24;24 G 1;;;24_G_1, 24_NA_NA, 24_G_NA, 24_G_NA, 24_G_1, 24_G_1, 24_G_1, 24_G_1, 24_G_1
H37;;;;;
H38;32;32 B 1;;;32_B_NA
H40;31;31 A 1;;;31_A_1, 31_A_1, 31_A_1, 31_A_1, 31_A_1
H43;32;32 C 1;;;32_C_1
H48;;;;;
H51;24;24 C 1;;;24_D_1, 24_D_1, 24_D_NA, 24_B_NA, 24_NA_NA, 24_D_NA, 24_NA_NA, 24_D_NA, 24_D_NA, 24_C_1, 24_NA_NA, 24_C_1, 24_D_1, 24_C_NA, 24_C_1
H67;;;;;
H83;;;;;25_NA_NA
H86;36;;;;36_D_NA, 36_D_NA
H87;;;;;
I00;27;27 A 1;;;27_A_1, 27_A_1, 27_A_NA, 27_A_1, 27_A_1
I02;25;25 C 1;;;25_C_1
I04;29;29 B 1;;;29_B_1, 29_B_1, 29_B_1, 29_B_1, 29_NA_NA
I05;32;;;;32_C_NA
I06;32;;;;32_C_1
I09;;;;;
I12;;;;;
I24;12;;;;12_A_NA
I28;45;;;;45_F_NA
I29;11;;;;11_A_NA
I49;11;11 A 1;;;11_A_2, 11_A_1, 11_A_1, 11_A_1, 11_A_NA, 11_A_NA
I52;;;;;
I65;32;32 A 1;;;32_A_1_2, 32_A_NA, 32_A_1
I69;;;;;
I73;28;28 C 2;;;28_C_2, 28_C_3, 28_C_1, 28_C_1, 28_C_2, 28_C_NA, 28_C_2
I76;;;;;
I77;;;;;
I80;32;32 D 1;;;32_D_1, 33_NA_NA, 32_NA_NA, 32_A_3, 32_D_1, 32_D_1
I82;25;;;;25_C_1
I84;25;25 A 2;;;25_A_2
I85;32;;;;32_A_NA
