Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	44.069930816	44.488820507	0.000	22050.000	358
1	Spectrogram 1	1	44.069930816	44.488820507	0.000	22050.000	358
2	Waveform 1	1	68.179474866	68.531342206	0.000	22050.000	358
2	Spectrogram 1	1	68.179474866	68.531342206	0.000	22050.000	358
3	Waveform 1	1	134.219675057	134.538031222	0.000	22050.000	358
3	Spectrogram 1	1	134.219675057	134.538031222	0.000	22050.000	358
4	Waveform 1	1	134.873142975	135.180328749	0.000	22050.000	358
4	Spectrogram 1	1	134.873142975	135.180328749	0.000	22050.000	358
5	Waveform 1	1	148.758119682	149.121157414	0.000	22050.000	358
5	Spectrogram 1	1	148.758119682	149.121157414	0.000	22050.000	358
6	Waveform 1	1	154.657951850	155.026574778	0.000	22050.000	358
6	Spectrogram 1	1	154.657951850	155.026574778	0.000	22050.000	358
7	Waveform 1	1	155.149449088	155.478975645	0.000	22050.000	358
7	Spectrogram 1	1	155.149449088	155.478975645	0.000	22050.000	358
