Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	1.104723110	1.393900630	0.000	22050.000	
1	Spectrogram 1	1	1.104723110	1.393900630	0.000	22050.000	
2	Waveform 1	1	4.497328278	4.744266385	0.000	22050.000	
2	Spectrogram 1	1	4.497328278	4.744266385	0.000	22050.000	
3	Waveform 1	1	16.353185641	16.626117233	0.000	22050.000	
3	Spectrogram 1	1	16.353185641	16.626117233	0.000	22050.000	
4	Waveform 1	1	19.550384289	19.849309366	0.000	22050.000	
4	Spectrogram 1	1	19.550384289	19.849309366	0.000	22050.000	
