Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	181.377684334	181.774826713	0.000	22050.000	114
1	Spectrogram 1	1	181.377684334	181.774826713	0.000	22050.000	114
2	Waveform 1	1	180.975278756	181.354900148	0.000	22050.000	114
2	Spectrogram 1	1	180.975278756	181.354900148	0.000	22050.000	114
3	Waveform 1	1	181.810445818	182.336075438	0.000	22050.000	114
3	Spectrogram 1	1	181.810445818	182.336075438	0.000	22050.000	114
4	Waveform 1	1	182.406159387	182.920108349	0.000	22050.000	114
4	Spectrogram 1	1	182.406159387	182.920108349	0.000	22050.000	114
