Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	19.919053100	20.184607497	0.000	22050.000	540
1	Spectrogram 1	1	19.919053100	20.184607497	0.000	22050.000	540
2	Waveform 1	1	282.969576150	283.426919834	0.000	22050.000	540
2	Spectrogram 1	1	282.969576150	283.426919834	0.000	22050.000	540
3	Waveform 1	1	311.128295679	311.482368208	0.000	22050.000	540
3	Spectrogram 1	1	311.128295679	311.482368208	0.000	22050.000	540
4	Waveform 1	1	331.002831856	331.386410429	0.000	22050.000	540
4	Spectrogram 1	1	331.002831856	331.386410429	0.000	22050.000	540
5	Waveform 1	1	333.939837346	334.249650809	0.000	22050.000	541
5	Spectrogram 1	1	333.939837346	334.249650809	0.000	22050.000	541
6	Waveform 1	1	334.313580571	334.716829841	0.000	22050.000	541
6	Spectrogram 1	1	334.313580571	334.716829841	0.000	22050.000	541
