Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	388.430036321	388.681825106	0.000	22050.000	
1	Spectrogram 1	1	388.430036321	388.681825106	0.000	22050.000	
2	Waveform 1	1	399.920657402	400.258283273	0.000	22050.000	
2	Spectrogram 1	1	399.920657402	400.258283273	0.000	22050.000	
3	Waveform 1	1	404.670309476	404.933543205	0.000	22050.000	
3	Spectrogram 1	1	404.670309476	404.933543205	0.000	22050.000	
4	Waveform 1	1	417.942299412	418.171198307	0.000	22050.000	
4	Spectrogram 1	1	417.942299412	418.171198307	0.000	22050.000	
5	Waveform 1	1	422.617559345	422.852180712	0.000	22050.000	
5	Spectrogram 1	1	422.617559345	422.852180712	0.000	22050.000	
6	Waveform 1	1	440.459908974	440.683085396	0.000	22050.000	
6	Spectrogram 1	1	440.459908974	440.683085396	0.000	22050.000	
7	Waveform 1	1	444.293965467	444.545754251	0.000	22050.000	
7	Spectrogram 1	1	444.293965467	444.545754251	0.000	22050.000	
8	Waveform 1	1	450.412017882	450.749643752	0.000	22050.000	
8	Spectrogram 1	1	450.412017882	450.749643752	0.000	22050.000	
9	Waveform 1	1	460.009916575	460.278872777	0.000	22050.000	
9	Spectrogram 1	1	460.009916575	460.278872777	0.000	22050.000	
