Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	305.499349984	305.719828919	0.000	22050.000	
1	Spectrogram 1	1	305.499349984	305.719828919	0.000	22050.000	
2	Waveform 1	1	715.187810648	715.434537075	0.000	22050.000	
2	Spectrogram 1	1	715.187810648	715.434537075	0.000	22050.000	
3	Waveform 1	1	757.934489992	758.196964915	0.000	22050.000	
3	Spectrogram 1	1	757.934489992	758.196964915	0.000	22050.000	
4	Waveform 1	1	778.327673776	778.584899201	0.000	22050.000	
4	Spectrogram 1	1	778.327673776	778.584899201	0.000	22050.000	
