Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	21.893527351	22.223666529	0.000	22050.000	307
1	Spectrogram 1	1	21.893527351	22.223666529	0.000	22050.000	307
2	Waveform 1	1	302.802695608	303.107439465	0.000	22050.000	307
2	Spectrogram 1	1	302.802695608	303.107439465	0.000	22050.000	307
3	Waveform 1	1	307.223989341	307.522384368	0.000	22050.000	307
3	Spectrogram 1	1	307.223989341	307.522384368	0.000	22050.000	307
4	Waveform 1	1	307.547779689	307.903314189	0.000	22050.000	307
4	Spectrogram 1	1	307.547779689	307.903314189	0.000	22050.000	307
5	Waveform 1	1	309.979381714	310.334916214	0.000	22050.000	307
5	Spectrogram 1	1	309.979381714	310.334916214	0.000	22050.000	307
6	Waveform 1	1	313.150636512	313.563310485	0.000	22050.000	307
6	Spectrogram 1	1	313.150636512	313.563310485	0.000	22050.000	307
7	Waveform 1	1	340.646469413	340.970259761	0.000	22050.000	307
7	Spectrogram 1	1	340.646469413	340.970259761	0.000	22050.000	307
