Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	9.554836354	9.823213242	0.000	22050.000	356
1	Spectrogram 1	1	9.554836354	9.823213242	0.000	22050.000	356
2	Waveform 1	1	29.395179610	29.676648054	0.000	22050.000	357
2	Spectrogram 1	1	29.395179610	29.676648054	0.000	22050.000	357
3	Waveform 1	1	29.761743165	30.017028498	0.000	22050.000	357
3	Spectrogram 1	1	29.761743165	30.017028498	0.000	22050.000	357
4	Waveform 1	1	30.017028498	30.331225832	0.000	22050.000	357
4	Spectrogram 1	1	30.017028498	30.331225832	0.000	22050.000	357
5	Waveform 1	1	30.331225832	30.697789387	0.000	22050.000	357
5	Spectrogram 1	1	30.331225832	30.697789387	0.000	22050.000	357
6	Waveform 1	1	30.697789387	30.972712054	0.000	22050.000	357
6	Spectrogram 1	1	30.697789387	30.972712054	0.000	22050.000	357
7	Waveform 1	1	31.025078276	31.326184054	0.000	22050.000	357
7	Spectrogram 1	1	31.025078276	31.326184054	0.000	22050.000	357
8	Waveform 1	1	31.529103165	31.758205387	0.000	22050.000	357
8	Spectrogram 1	1	31.529103165	31.758205387	0.000	22050.000	357
