Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	121.065781858	121.274512888	0.000	22050.000	
1	Spectrogram 1	1	121.065781858	121.274512888	0.000	22050.000	
2	Waveform 1	1	214.487892296	214.803645418	0.000	22050.000	
2	Spectrogram 1	1	214.487892296	214.803645418	0.000	22050.000	
3	Waveform 1	1	214.074984367	214.336087911	0.000	22050.000	
3	Spectrogram 1	1	214.074984367	214.336087911	0.000	22050.000	
4	Waveform 1	1	260.007831411	260.299295832	0.000	22050.000	
4	Spectrogram 1	1	260.007831411	260.299295832	0.000	22050.000	
5	Waveform 1	1	260.548494125	260.835056970	0.000	22050.000	
5	Spectrogram 1	1	260.548494125	260.835056970	0.000	22050.000	
6	Waveform 1	1	293.648421469	294.004821267	0.000	22050.000	
6	Spectrogram 1	1	293.648421469	294.004821267	0.000	22050.000	
7	Waveform 1	1	311.231802102	311.468622312	0.000	22050.000	
7	Spectrogram 1	1	311.231802102	311.468622312	0.000	22050.000	
8	Waveform 1	1	311.488993944	311.789475501	0.000	22050.000	
8	Spectrogram 1	1	311.488993944	311.789475501	0.000	22050.000	
9	Waveform 1	1	316.011247231	316.398308221	0.000	22050.000	
9	Spectrogram 1	1	316.011247231	316.398308221	0.000	22050.000	
10	Waveform 1	1	316.510352191	316.795555026	0.000	22050.000	
10	Spectrogram 1	1	316.510352191	316.795555026	0.000	22050.000	
11	Waveform 1	1	368.345893344	368.614753643	0.000	22050.000	
11	Spectrogram 1	1	368.345893344	368.614753643	0.000	22050.000	
12	Waveform 1	1	368.614753643	368.928423992	0.000	22050.000	
12	Spectrogram 1	1	368.614753643	368.928423992	0.000	22050.000	
