Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	273.136224609	273.557066025	0.000	22050.000	
1	Spectrogram 1	1	273.136224609	273.557066025	0.000	22050.000	
2	Waveform 1	1	282.588597572	282.928984011	0.000	22050.000	
2	Spectrogram 1	1	282.588597572	282.928984011	0.000	22050.000	
3	Waveform 1	1	282.928984011	283.356014272	0.000	22050.000	
3	Spectrogram 1	1	282.928984011	283.356014272	0.000	22050.000	
4	Waveform 1	1	283.356014272	283.770666844	0.000	22050.000	
4	Spectrogram 1	1	283.356014272	283.770666844	0.000	22050.000	
5	Waveform 1	1	283.770666844	284.160564038	0.000	22050.000	
5	Spectrogram 1	1	283.770666844	284.160564038	0.000	22050.000	
6	Waveform 1	1	284.160564038	284.606160831	0.000	22050.000	
6	Spectrogram 1	1	284.160564038	284.606160831	0.000	22050.000	
7	Waveform 1	1	284.859903450	285.299311399	0.000	22050.000	
7	Spectrogram 1	1	284.859903450	285.299311399	0.000	22050.000	
8	Waveform 1	1	285.528298640	286.308093028	0.000	22050.000	
8	Spectrogram 1	1	285.528298640	286.308093028	0.000	22050.000	
9	Waveform 1	1	351.989551075	352.280426759	0.000	22050.000	
9	Spectrogram 1	1	351.989551075	352.280426759	0.000	22050.000	
10	Waveform 1	1	464.917940588	465.276893560	0.000	22050.000	
10	Spectrogram 1	1	464.917940588	465.276893560	0.000	22050.000	
11	Waveform 1	1	467.954461715	468.431002730	0.000	22050.000	
11	Spectrogram 1	1	467.954461715	468.431002730	0.000	22050.000	
12	Waveform 1	1	476.423531024	476.794861685	0.000	22050.000	
12	Spectrogram 1	1	476.423531024	476.794861685	0.000	22050.000	
13	Waveform 1	1	484.168358270	484.576821997	0.000	22050.000	
13	Spectrogram 1	1	484.168358270	484.576821997	0.000	22050.000	
14	Waveform 1	1	517.031095507	517.278649281	0.000	22050.000	
14	Spectrogram 1	1	517.031095507	517.278649281	0.000	22050.000	
15	Waveform 1	1	526.605286370	526.945672810	0.000	22050.000	
15	Spectrogram 1	1	526.605286370	526.945672810	0.000	22050.000	
16	Waveform 1	1	534.586824479	534.989099362	0.000	22050.000	
16	Spectrogram 1	1	534.586824479	534.989099362	0.000	22050.000	
17	Waveform 1	1	535.174764693	535.409940778	0.000	22050.000	
17	Spectrogram 1	1	535.174764693	535.409940778	0.000	22050.000	
18	Waveform 1	1	535.502773443	535.700816463	0.000	22050.000	
18	Spectrogram 1	1	535.502773443	535.700816463	0.000	22050.000	
