Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	37.169297368	37.458603623	0.000	22050.000	95
1	Spectrogram 1	1	37.169297368	37.458603623	0.000	22050.000	95
2	Waveform 1	1	37.464630836	37.645447245	0.000	22050.000	95
2	Spectrogram 1	1	37.464630836	37.645447245	0.000	22050.000	95
3	Waveform 1	1	136.223688001	136.705865091	0.000	22050.000	96
3	Spectrogram 1	1	136.223688001	136.705865091	0.000	22050.000	96
4	Waveform 1	1	136.928871996	137.609947136	0.000	22050.000	96
4	Spectrogram 1	1	136.928871996	137.609947136	0.000	22050.000	96
5	Waveform 1	1	137.724464195	137.929389459	0.000	22050.000	96
5	Spectrogram 1	1	137.724464195	137.929389459	0.000	22050.000	96
6	Waveform 1	1	137.947471099	138.146369149	0.000	22050.000	96
6	Spectrogram 1	1	137.947471099	138.146369149	0.000	22050.000	96
7	Waveform 1	1	138.164450790	138.321158345	0.000	22050.000	96
7	Spectrogram 1	1	138.164450790	138.321158345	0.000	22050.000	96
8	Waveform 1	1	138.321158345	138.532110822	0.000	22050.000	96
8	Spectrogram 1	1	138.321158345	138.532110822	0.000	22050.000	96
9	Waveform 1	1	138.532110822	138.700872804	0.000	22050.000	96
9	Spectrogram 1	1	138.532110822	138.700872804	0.000	22050.000	96
10	Waveform 1	1	182.463257519	182.668182783	0.000	22050.000	96
10	Spectrogram 1	1	182.463257519	182.668182783	0.000	22050.000	96
11	Waveform 1	1	279.292136752	279.858694834	0.000	22050.000	97
11	Spectrogram 1	1	279.292136752	279.858694834	0.000	22050.000	97
12	Waveform 1	1	279.858694834	280.364980779	0.000	22050.000	97
12	Spectrogram 1	1	279.858694834	280.364980779	0.000	22050.000	97
13	Waveform 1	1	280.364980779	280.889348365	0.000	22050.000	97
13	Spectrogram 1	1	280.364980779	280.889348365	0.000	22050.000	97
14	Waveform 1	1	280.919484433	281.383579883	0.000	22050.000	97
14	Spectrogram 1	1	280.919484433	281.383579883	0.000	22050.000	97
15	Waveform 1	1	281.425770378	281.986301246	0.000	22050.000	97
15	Spectrogram 1	1	281.425770378	281.986301246	0.000	22050.000	97
16	Waveform 1	1	290.228809801	290.704959678	0.000	22050.000	97
16	Spectrogram 1	1	290.228809801	290.704959678	0.000	22050.000	97
17	Waveform 1	1	290.807422310	291.265490546	0.000	22050.000	97
17	Spectrogram 1	1	290.807422310	291.265490546	0.000	22050.000	97
18	Waveform 1	1	291.313708255	291.862184695	0.000	22050.000	97
18	Spectrogram 1	1	291.313708255	291.862184695	0.000	22050.000	97
19	Waveform 1	1	298.701137199	298.954280172	0.000	22050.000	97
19	Spectrogram 1	1	298.701137199	298.954280172	0.000	22050.000	97
20	Waveform 1	1	298.960307385	299.123042153	0.000	22050.000	97
20	Spectrogram 1	1	298.960307385	299.123042153	0.000	22050.000	97
21	Waveform 1	1	299.117014940	299.315912990	0.000	22050.000	97
21	Spectrogram 1	1	299.117014940	299.315912990	0.000	22050.000	97
22	Waveform 1	1	299.315912990	299.550974321	0.000	22050.000	97
22	Spectrogram 1	1	299.315912990	299.550974321	0.000	22050.000	97
23	Waveform 1	1	299.550974321	299.822198935	0.000	22050.000	97
23	Spectrogram 1	1	299.550974321	299.822198935	0.000	22050.000	97
24	Waveform 1	1	299.822198935	300.129586830	0.000	22050.000	97
24	Spectrogram 1	1	299.822198935	300.129586830	0.000	22050.000	97
25	Waveform 1	1	300.129586830	300.443001939	0.000	22050.000	97
25	Spectrogram 1	1	300.129586830	300.443001939	0.000	22050.000	97
26	Waveform 1	1	302.715034426	302.932014117	0.000	22050.000	97
26	Spectrogram 1	1	302.715034426	302.932014117	0.000	22050.000	97
27	Waveform 1	1	302.968177398	303.408163994	0.000	22050.000	97
27	Spectrogram 1	1	302.968177398	303.408163994	0.000	22050.000	97
28	Waveform 1	1	303.408163994	303.727606316	0.000	22050.000	97
28	Spectrogram 1	1	303.408163994	303.727606316	0.000	22050.000	97
29	Waveform 1	1	303.757742384	304.209783407	0.000	22050.000	97
29	Spectrogram 1	1	303.757742384	304.209783407	0.000	22050.000	97
30	Waveform 1	1	304.251973902	304.649770002	0.000	22050.000	97
30	Spectrogram 1	1	304.251973902	304.649770002	0.000	22050.000	97
31	Waveform 1	1	304.716069352	305.186192015	0.000	22050.000	97
31	Spectrogram 1	1	304.716069352	305.186192015	0.000	22050.000	97
32	Waveform 1	1	311.799561237	311.956268791	0.000	22050.000	97
32	Spectrogram 1	1	311.799561237	311.956268791	0.000	22050.000	97
33	Waveform 1	1	311.986404859	312.185302909	0.000	22050.000	97
33	Spectrogram 1	1	311.986404859	312.185302909	0.000	22050.000	97
34	Waveform 1	1	312.185302909	312.396255386	0.000	22050.000	97
34	Spectrogram 1	1	312.185302909	312.396255386	0.000	22050.000	97
