Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	11.683578924	12.020296559	0.000	22050.000	
1	Spectrogram 1	1	11.683578924	12.020296559	0.000	22050.000	
2	Waveform 1	1	55.504139361	55.785574997	0.000	22050.000	
2	Spectrogram 1	1	55.504139361	55.785574997	0.000	22050.000	
3	Waveform 1	1	63.952185746	64.263775200	0.000	22050.000	
3	Spectrogram 1	1	63.952185746	64.263775200	0.000	22050.000	
4	Waveform 1	1	81.315740961	81.742920051	0.000	22050.000	
4	Spectrogram 1	1	81.315740961	81.742920051	0.000	22050.000	
5	Waveform 1	1	93.616103031	94.068410303	0.000	22050.000	
5	Spectrogram 1	1	93.616103031	94.068410303	0.000	22050.000	
