Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	243.789395236	244.068951545	0.000	22050.000	
1	Spectrogram 1	1	243.789395236	244.068951545	0.000	22050.000	
2	Waveform 1	1	302.008643240	302.303730456	0.000	22050.000	
2	Spectrogram 1	1	302.008643240	302.303730456	0.000	22050.000	
3	Waveform 1	1	344.129488179	344.409044488	0.000	22050.000	
3	Spectrogram 1	1	344.129488179	344.409044488	0.000	22050.000	
4	Waveform 1	1	360.381926295	360.604535949	0.000	22050.000	
4	Spectrogram 1	1	360.381926295	360.604535949	0.000	22050.000	
5	Waveform 1	1	365.144801128	365.408826531	0.000	22050.000	
5	Spectrogram 1	1	365.144801128	365.408826531	0.000	22050.000	
6	Waveform 1	1	432.943723511	433.243987695	0.000	22050.000	
6	Spectrogram 1	1	432.943723511	433.243987695	0.000	22050.000	
7	Waveform 1	1	477.947765758	478.325684472	0.000	22050.000	
7	Spectrogram 1	1	477.947765758	478.325684472	0.000	22050.000	
8	Waveform 1	1	487.565053529	487.994741931	0.000	22050.000	
8	Spectrogram 1	1	487.565053529	487.994741931	0.000	22050.000	
