Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	85.470093003	85.563506189	0.000	22050.000	
1	Spectrogram 1	1	85.470093003	85.563506189	0.000	22050.000	
2	Waveform 1	1	174.436732100	174.559644187	0.000	22050.000	
2	Spectrogram 1	1	174.436732100	174.559644187	0.000	22050.000	
3	Waveform 1	1	262.280738526	262.482314349	0.000	22050.000	
3	Spectrogram 1	1	262.280738526	262.482314349	0.000	22050.000	
4	Waveform 1	1	327.675538555	327.886947346	0.000	22050.000	
4	Spectrogram 1	1	327.675538555	327.886947346	0.000	22050.000	
