Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	11.403546040	11.640413777	0.000	22050.000	
1	Spectrogram 1	1	11.403546040	11.640413777	0.000	22050.000	
2	Waveform 1	1	19.409489565	19.651997010	0.000	22050.000	
2	Spectrogram 1	1	19.409489565	19.651997010	0.000	22050.000	
3	Waveform 1	1	64.325272179	64.630843496	0.000	22050.000	
3	Spectrogram 1	1	64.325272179	64.630843496	0.000	22050.000	
4	Waveform 1	1	70.539253634	70.812994605	0.000	22050.000	
4	Spectrogram 1	1	70.539253634	70.812994605	0.000	22050.000	
5	Waveform 1	1	74.460752203	74.702662829	0.000	22050.000	
5	Spectrogram 1	1	74.460752203	74.702662829	0.000	22050.000	
6	Waveform 1	1	80.312993030	80.561269725	0.000	22050.000	
6	Spectrogram 1	1	80.312993030	80.561269725	0.000	22050.000	
9	Waveform 1	1	121.376411779	121.681983096	0.000	22050.000	
9	Spectrogram 1	1	121.376411779	121.681983096	0.000	22050.000	
