Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	111.798891866	112.069084035	0.000	22050.000	
1	Spectrogram 1	1	111.798891866	112.069084035	0.000	22050.000	
2	Waveform 1	1	115.614341592	115.862477257	0.000	22050.000	
2	Spectrogram 1	1	115.614341592	115.862477257	0.000	22050.000	
3	Waveform 1	1	116.060985789	116.331177957	0.000	22050.000	
3	Spectrogram 1	1	116.060985789	116.331177957	0.000	22050.000	
4	Waveform 1	1	116.766793902	117.048014323	0.000	22050.000	
4	Spectrogram 1	1	116.766793902	117.048014323	0.000	22050.000	
5	Waveform 1	1	177.728755723	178.169885794	0.000	22050.000	
5	Spectrogram 1	1	177.728755723	178.169885794	0.000	22050.000	
6	Waveform 1	1	292.779065429	292.927946828	0.000	22050.000	
6	Spectrogram 1	1	292.779065429	292.927946828	0.000	22050.000	
7	Waveform 1	1	292.999630464	293.131969486	0.000	22050.000	
7	Spectrogram 1	1	292.999630464	293.131969486	0.000	22050.000	
