Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	23.159222028	23.584888533	0.000	22050.000	
1	Spectrogram 1	1	23.159222028	23.584888533	0.000	22050.000	
2	Waveform 1	1	23.661412848	23.857506407	0.000	22050.000	
2	Spectrogram 1	1	23.661412848	23.857506407	0.000	22050.000	
3	Waveform 1	1	23.886203025	24.091862123	0.000	22050.000	
3	Spectrogram 1	1	23.886203025	24.091862123	0.000	22050.000	
4	Waveform 1	1	24.144472590	24.340566148	0.000	22050.000	
4	Spectrogram 1	1	24.144472590	24.340566148	0.000	22050.000	
5	Waveform 1	1	24.441004312	24.617966792	0.000	22050.000	
5	Spectrogram 1	1	24.441004312	24.617966792	0.000	22050.000	
6	Waveform 1	1	43.443422345	43.754302376	0.000	22050.000	
6	Spectrogram 1	1	43.443422345	43.754302376	0.000	22050.000	
7	Waveform 1	1	149.943824956	150.264270528	0.000	22050.000	
7	Spectrogram 1	1	149.943824956	150.264270528	0.000	22050.000	
8	Waveform 1	1	150.264270528	150.627761026	0.000	22050.000	
8	Spectrogram 1	1	150.264270528	150.627761026	0.000	22050.000	
