Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	37.805377653	38.045782123	0.000	22050.000	
1	Spectrogram 1	1	37.805377653	38.045782123	0.000	22050.000	
2	Waveform 1	1	47.319217711	47.619723299	0.000	22050.000	
2	Spectrogram 1	1	47.319217711	47.619723299	0.000	22050.000	
3	Waveform 1	1	61.846052244	62.134537609	0.000	22050.000	
3	Spectrogram 1	1	61.846052244	62.134537609	0.000	22050.000	
4	Waveform 1	1	69.126984836	69.409460089	0.000	22050.000	
4	Spectrogram 1	1	69.126984836	69.409460089	0.000	22050.000	
5	Waveform 1	1	72.215160742	72.557737113	0.000	22050.000	
5	Spectrogram 1	1	72.215160742	72.557737113	0.000	22050.000	
6	Waveform 1	1	73.627537007	73.904002149	0.000	22050.000	
6	Spectrogram 1	1	73.627537007	73.904002149	0.000	22050.000	
7	Waveform 1	1	255.380608126	255.627022709	0.000	22050.000	
7	Spectrogram 1	1	255.380608126	255.627022709	0.000	22050.000	
