Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	47.156131384	47.386575342	0.000	22050.000	
1	Spectrogram 1	1	47.156131384	47.386575342	0.000	22050.000	
2	Waveform 1	1	55.656766338	55.914644101	0.000	22050.000	
2	Spectrogram 1	1	55.656766338	55.914644101	0.000	22050.000	
3	Waveform 1	1	67.082407336	67.323824816	0.000	22050.000	
3	Spectrogram 1	1	67.082407336	67.323824816	0.000	22050.000	
4	Waveform 1	1	86.990738468	87.259589753	0.000	22050.000	
4	Spectrogram 1	1	86.990738468	87.259589753	0.000	22050.000	
