Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	22.739034930	22.967767600	0.000	22050.000	
1	Spectrogram 1	1	22.739034930	22.967767600	0.000	22050.000	
2	Waveform 1	1	37.884947423	38.152891408	0.000	22050.000	
2	Spectrogram 1	1	37.884947423	38.152891408	0.000	22050.000	
3	Waveform 1	1	43.099508833	43.321706284	0.000	22050.000	
3	Spectrogram 1	1	43.099508833	43.321706284	0.000	22050.000	
4	Waveform 1	1	47.455906396	47.704244723	0.000	22050.000	
4	Spectrogram 1	1	47.455906396	47.704244723	0.000	22050.000	
5	Waveform 1	1	62.639166848	62.939786928	0.000	22050.000	
5	Spectrogram 1	1	62.639166848	62.939786928	0.000	22050.000	
6	Waveform 1	1	153.016510806	153.473976145	0.000	22050.000	
6	Spectrogram 1	1	153.016510806	153.473976145	0.000	22050.000	
9	Waveform 1	1	159.408780093	159.709400173	0.000	22050.000	
9	Spectrogram 1	1	159.408780093	159.709400173	0.000	22050.000	
