Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	13.418063857	13.569648001	0.000	22050.000	110
1	Spectrogram 1	1	13.418063857	13.569648001	0.000	22050.000	110
2	Waveform 1	1	30.663418105	30.871846303	0.000	22050.000	110
2	Spectrogram 1	1	30.663418105	30.871846303	0.000	22050.000	110
3	Waveform 1	1	41.091966763	41.224602889	0.000	22050.000	110
3	Spectrogram 1	1	41.091966763	41.224602889	0.000	22050.000	110
4	Waveform 1	1	65.228852532	65.532020821	0.000	22050.000	111
4	Spectrogram 1	1	65.228852532	65.532020821	0.000	22050.000	111
5	Waveform 1	1	115.818010181	116.140126488	0.000	22050.000	112
5	Spectrogram 1	1	115.818010181	116.140126488	0.000	22050.000	112
6	Waveform 1	1	132.254834527	132.494842756	0.000	22050.000	113
6	Spectrogram 1	1	132.254834527	132.494842756	0.000	22050.000	113
