Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	12.114291232	12.378884311	0.000	22050.000	170
1	Spectrogram 1	1	12.114291232	12.378884311	0.000	22050.000	170
2	Waveform 1	1	14.682046796	14.916572480	0.000	22050.000	170
2	Spectrogram 1	1	14.682046796	14.916572480	0.000	22050.000	170
3	Waveform 1	1	16.257578314	16.510144435	0.000	22050.000	170
3	Spectrogram 1	1	16.257578314	16.510144435	0.000	22050.000	170
4	Waveform 1	1	36.326803928	36.585383529	0.000	22050.000	170
4	Spectrogram 1	1	36.326803928	36.585383529	0.000	22050.000	170
5	Waveform 1	1	64.695013752	64.911498999	0.000	22050.000	171
5	Spectrogram 1	1	64.695013752	64.911498999	0.000	22050.000	171
6	Waveform 1	1	65.037782060	65.284334702	0.000	22050.000	171
6	Spectrogram 1	1	65.037782060	65.284334702	0.000	22050.000	171
7	Waveform 1	1	67.112432340	67.346958024	0.000	22050.000	171
7	Spectrogram 1	1	67.112432340	67.346958024	0.000	22050.000	171
8	Waveform 1	1	72.496454932	72.995573696	0.000	22050.000	172
8	Spectrogram 1	1	72.496454932	72.995573696	0.000	22050.000	172
9	Waveform 1	1	73.013614133	73.272193733	0.000	22050.000	172
9	Spectrogram 1	1	73.013614133	73.272193733	0.000	22050.000	172
10	Waveform 1	1	73.272193733	73.602935082	0.000	22050.000	172
10	Spectrogram 1	1	73.272193733	73.602935082	0.000	22050.000	172
11	Waveform 1	1	73.602935082	73.927662952	0.000	22050.000	172
11	Spectrogram 1	1	73.602935082	73.927662952	0.000	22050.000	172
12	Waveform 1	1	74.120094283	74.432795194	0.000	22050.000	172
12	Spectrogram 1	1	74.120094283	74.432795194	0.000	22050.000	172
13	Waveform 1	1	74.913873520	75.280695744	0.000	22050.000	172
13	Spectrogram 1	1	74.913873520	75.280695744	0.000	22050.000	172
14	Waveform 1	1	75.551302302	75.851976256	0.000	22050.000	172
14	Spectrogram 1	1	75.551302302	75.851976256	0.000	22050.000	172
