Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	104.441306715	104.932141948	0.000	22050.000	275
1	Spectrogram 1	1	104.441306715	104.932141948	0.000	22050.000	275
2	Waveform 1	1	270.665374796	271.135470512	0.000	22050.000	275
2	Spectrogram 1	1	270.665374796	271.135470512	0.000	22050.000	275
3	Waveform 1	1	272.234664908	272.614889384	0.000	22050.000	275
3	Spectrogram 1	1	272.234664908	272.614889384	0.000	22050.000	275
4	Waveform 1	1	275.674962522	276.013707965	0.000	22050.000	275
4	Spectrogram 1	1	275.674962522	276.013707965	0.000	22050.000	275
5	Waveform 1	1	289.315703039	289.771972411	0.000	22050.000	275
5	Spectrogram 1	1	289.315703039	289.771972411	0.000	22050.000	275
6	Waveform 1	1	305.323922927	305.835497677	0.000	22050.000	275
6	Spectrogram 1	1	305.323922927	305.835497677	0.000	22050.000	275
7	Waveform 1	1	307.155913586	307.584530268	0.000	22050.000	275
7	Spectrogram 1	1	307.155913586	307.584530268	0.000	22050.000	275
8	Waveform 1	1	308.268934325	308.600766596	0.000	22050.000	275
8	Spectrogram 1	1	308.268934325	308.600766596	0.000	22050.000	275
9	Waveform 1	1	317.412917900	317.744750170	0.000	22050.000	275
9	Spectrogram 1	1	317.412917900	317.744750170	0.000	22050.000	275
10	Waveform 1	1	322.260993134	322.744915195	0.000	22050.000	276
10	Spectrogram 1	1	322.260993134	322.744915195	0.000	22050.000	276
11	Waveform 1	1	322.820960090	323.173531877	0.000	22050.000	276
11	Spectrogram 1	1	322.820960090	323.173531877	0.000	22050.000	276
12	Waveform 1	1	323.602148559	324.010025725	0.000	22050.000	276
12	Spectrogram 1	1	323.602148559	324.010025725	0.000	22050.000	276
