Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	72.780814509	73.077066018	0.000	22050.000	
1	Spectrogram 1	1	72.780814509	73.077066018	0.000	22050.000	
2	Waveform 1	1	80.724903166	80.933736197	0.000	22050.000	
2	Spectrogram 1	1	80.724903166	80.933736197	0.000	22050.000	
3	Waveform 1	1	84.234423710	84.462683070	0.000	22050.000	
3	Spectrogram 1	1	84.234423710	84.462683070	0.000	22050.000	
4	Waveform 1	1	92.197749803	92.498857895	0.000	22050.000	
4	Spectrogram 1	1	92.197749803	92.498857895	0.000	22050.000	
5	Waveform 1	1	95.505383577	95.757925848	0.000	22050.000	
5	Spectrogram 1	1	95.505383577	95.757925848	0.000	22050.000	
6	Waveform 1	1	99.184735316	99.461560497	0.000	22050.000	
6	Spectrogram 1	1	99.184735316	99.461560497	0.000	22050.000	
7	Waveform 1	1	129.876975962	130.124661651	0.000	22050.000	
7	Spectrogram 1	1	129.876975962	130.124661651	0.000	22050.000	
8	Waveform 1	1	133.441707243	133.689392931	0.000	22050.000	
8	Spectrogram 1	1	133.441707243	133.689392931	0.000	22050.000	
