Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	42.122745773	42.327013775	0.000	22050.000	13
1	Spectrogram 1	1	42.122745773	42.327013775	0.000	22050.000	13
2	Waveform 1	1	49.713257313	50.121793317	0.000	22050.000	13
2	Spectrogram 1	1	49.713257313	50.121793317	0.000	22050.000	13
3	Waveform 1	1	59.871933700	60.364033887	0.000	22050.000	13
3	Spectrogram 1	1	59.871933700	60.364033887	0.000	22050.000	13
4	Waveform 1	1	65.930477697	66.227594791	0.000	22050.000	14
4	Spectrogram 1	1	65.930477697	66.227594791	0.000	22050.000	14
5	Waveform 1	1	68.774638052	69.146034419	0.000	22050.000	14
5	Spectrogram 1	1	68.774638052	69.146034419	0.000	22050.000	14
