Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	170.414834872	170.695792000	0.000	22050.000	
1	Spectrogram 1	1	170.414834872	170.695792000	0.000	22050.000	
3	Waveform 1	1	218.741058187	218.997584261	0.000	22050.000	
3	Spectrogram 1	1	218.741058187	218.997584261	0.000	22050.000	
4	Waveform 1	1	231.850359347	232.042753903	0.000	22050.000	
4	Spectrogram 1	1	231.850359347	232.042753903	0.000	22050.000	
5	Waveform 1	1	306.330841026	306.533826558	0.000	22050.000	
5	Spectrogram 1	1	306.330841026	306.533826558	0.000	22050.000	
6	Waveform 1	1	307.501246965	307.712870179	0.000	22050.000	
6	Spectrogram 1	1	307.501246965	307.712870179	0.000	22050.000	
