Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	15.790472563	15.888632468	0.000	22050.000	
1	Spectrogram 1	1	15.790472563	15.888632468	0.000	22050.000	
2	Waveform 1	1	16.038759381	16.146542806	0.000	22050.000	
2	Spectrogram 1	1	16.038759381	16.146542806	0.000	22050.000	
3	Waveform 1	1	16.229305079	16.402528441	0.000	22050.000	
3	Spectrogram 1	1	16.229305079	16.402528441	0.000	22050.000	
4	Waveform 1	1	16.435248409	16.529558906	0.000	22050.000	
4	Spectrogram 1	1	16.435248409	16.529558906	0.000	22050.000	
5	Waveform 1	1	16.589224730	16.700857563	0.000	22050.000	
5	Spectrogram 1	1	16.589224730	16.700857563	0.000	22050.000	
6	Waveform 1	1	16.772071612	16.854833885	0.000	22050.000	
6	Spectrogram 1	1	16.772071612	16.854833885	0.000	22050.000	
7	Waveform 1	1	16.979939646	17.139690079	0.000	22050.000	
7	Spectrogram 1	1	16.979939646	17.139690079	0.000	22050.000	
8	Waveform 1	1	17.230151168	17.380278082	0.000	22050.000	
8	Spectrogram 1	1	17.230151168	17.380278082	0.000	22050.000	
9	Waveform 1	1	17.524630883	17.717101285	0.000	22050.000	
9	Spectrogram 1	1	17.524630883	17.717101285	0.000	22050.000	
10	Waveform 1	1	17.807562373	18.001957479	0.000	22050.000	
10	Spectrogram 1	1	17.807562373	18.001957479	0.000	22050.000	
11	Waveform 1	1	57.918536287	58.174398885	0.000	22050.000	
11	Spectrogram 1	1	57.918536287	58.174398885	0.000	22050.000	
12	Waveform 1	1	78.604074122	78.859936719	0.000	22050.000	
12	Spectrogram 1	1	78.604074122	78.859936719	0.000	22050.000	
13	Waveform 1	1	86.519503833	86.791698086	0.000	22050.000	
13	Spectrogram 1	1	86.519503833	86.791698086	0.000	22050.000	
14	Waveform 1	1	107.498120979	107.813772438	0.000	22050.000	
14	Spectrogram 1	1	107.498120979	107.813772438	0.000	22050.000	
15	Waveform 1	1	107.867664150	108.175616793	0.000	22050.000	
15	Spectrogram 1	1	107.867664150	108.175616793	0.000	22050.000	
16	Waveform 1	1	161.479882687	161.726244801	0.000	22050.000	
16	Spectrogram 1	1	161.479882687	161.726244801	0.000	22050.000	
17	Waveform 1	1	172.140892173	172.521983569	0.000	22050.000	
17	Spectrogram 1	1	172.140892173	172.521983569	0.000	22050.000	
18	Waveform 1	1	172.675959890	172.962740789	0.000	22050.000	
18	Spectrogram 1	1	172.675959890	172.962740789	0.000	22050.000	
19	Waveform 1	1	173.043578358	173.239898167	0.000	22050.000	
19	Spectrogram 1	1	173.043578358	173.239898167	0.000	22050.000	
20	Waveform 1	1	173.334208664	173.547850810	0.000	22050.000	
20	Spectrogram 1	1	173.334208664	173.547850810	0.000	22050.000	
21	Waveform 1	1	173.626763675	173.815384669	0.000	22050.000	
21	Spectrogram 1	1	173.626763675	173.815384669	0.000	22050.000	
22	Waveform 1	1	173.925092797	174.132960831	0.000	22050.000	
22	Spectrogram 1	1	173.925092797	174.132960831	0.000	22050.000	
23	Waveform 1	1	174.234223842	174.555649413	0.000	22050.000	
23	Spectrogram 1	1	174.234223842	174.555649413	0.000	22050.000	
