Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	198.493081222	198.706993827	0.000	22050.000	
1	Spectrogram 1	1	198.493081222	198.706993827	0.000	22050.000	
2	Waveform 1	1	208.127273799	208.435559612	0.000	22050.000	
2	Spectrogram 1	1	208.127273799	208.435559612	0.000	22050.000	
3	Waveform 1	1	212.782739851	213.072151022	0.000	22050.000	
3	Spectrogram 1	1	212.782739851	213.072151022	0.000	22050.000	
4	Waveform 1	1	219.585656311	219.893942124	0.000	22050.000	
4	Spectrogram 1	1	219.585656311	219.893942124	0.000	22050.000	
5	Waveform 1	1	225.539358733	225.797312169	0.000	22050.000	
5	Spectrogram 1	1	225.539358733	225.797312169	0.000	22050.000	
7	Waveform 1	1	382.144119579	382.395781467	0.000	22050.000	
7	Spectrogram 1	1	382.144119579	382.395781467	0.000	22050.000	
8	Waveform 1	1	397.534415034	397.773493827	0.000	22050.000	
8	Spectrogram 1	1	397.534415034	397.773493827	0.000	22050.000	
9	Waveform 1	1	439.021360827	439.310771998	0.000	22050.000	
9	Spectrogram 1	1	439.021360827	439.310771998	0.000	22050.000	
