Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	80.048381026	80.549443732	0.000	22050.000	561
1	Spectrogram 1	1	80.048381026	80.549443732	0.000	22050.000	561
2	Waveform 1	1	92.155223435	92.709732830	0.000	22050.000	561
2	Spectrogram 1	1	92.155223435	92.709732830	0.000	22050.000	561
3	Waveform 1	1	96.916184253	97.136651843	0.000	22050.000	562
3	Spectrogram 1	1	96.916184253	97.136651843	0.000	22050.000	562
4	Waveform 1	1	99.468263636	99.915879654	0.000	22050.000	562
4	Spectrogram 1	1	99.468263636	99.915879654	0.000	22050.000	562
5	Waveform 1	1	101.581439477	101.828630412	0.000	22050.000	562
5	Spectrogram 1	1	101.581439477	101.828630412	0.000	22050.000	562
6	Waveform 1	1	108.403267122	108.750670598	0.000	22050.000	563
6	Spectrogram 1	1	108.403267122	108.750670598	0.000	22050.000	563
7	Waveform 1	1	277.932651543	278.253331675	0.000	22050.000	564
7	Spectrogram 1	1	277.932651543	278.253331675	0.000	22050.000	564
8	Waveform 1	1	285.637187578	285.977910218	0.000	22050.000	565
8	Spectrogram 1	1	285.637187578	285.977910218	0.000	22050.000	565
