"Tidsstempel","What?","Group size","Where?","How?","Who? (2 m or whole tree)","From","To","Type","Started by","Won by","Copy paste waypoint name"
"2020/12/22 10:35:34 AM CET","Group","3","Deciduous tree","Perched","X, un, un","","","","","","124"
"2020/12/22 10:57:48 AM CET","Group","5","Deciduous tree","Perched","T71, R18, E45, T99, un","","","","","","125"
"2020/12/22 11:12:31 AM CET","Group","5","Deciduous tree","Perched","T71, R18, E45, T99, un","","","","","","125"
"2020/12/22 11:12:59 AM CET","Group","1","Deciduous tree","Perched","J71","","","","","","126"
"2020/12/22 11:29:46 AM CET","Group","4","Pine tree","Perched","E45, H40, un, un","","","","","","nest 32"
"2020/12/22 11:30:14 AM CET","Interaction","","","","","un","E45","10 cm group","From","NA","nest 32"
"2020/12/22 11:30:45 AM CET","Interaction","","","","","un","H40","10 cm group","From","NA","nest 32"
"2020/12/22 12:03:19 PM CET","Interaction","","","","","un","H40","10 cm group","From","NA","nest 32"
"2020/12/23 9:22:39 AM CET","Interaction","","","","","un","H40","10 cm group","From","NA","nest 32"
"2020/12/23 9:42:57 AM CET","Group","3","Palm tree","Perched","L35, M38,KX","","","","","","nest 13"
"2020/12/23 9:51:48 AM CET","Group","1","Palm tree","Perched","un","","","","","","nest 14"
"2020/12/23 9:56:20 AM CET","Group","2","Palm tree","Perched","K70, U20","","","","","","nest 15"
"2020/12/23 9:56:43 AM CET","Interaction","","","","","K70","U20","Touching","NA","NA","nest 15"
"2020/12/23 10:09:59 AM CET","Interaction","","","","","K70","U20","Touching","NA","NA","nest 15"
"2020/12/23 10:10:26 AM CET","Group","2","Nest","Perched","J43, un","","","","","","nest 18"
"2020/12/23 10:21:16 AM CET","Group","2","Nest","Perched","J14, un","","","","","","nest 21"
"2020/12/23 10:21:47 AM CET","Interaction","","","","","J14","un","Touching","NA","NA","nest 21"
"2020/12/23 10:28:06 AM CET","Group","4","Palm tree","Perched","T78, T50, un, un","","","","","","nest 22"
"2020/12/23 10:28:48 AM CET","Interaction","","","","","T78","T50","10 cm group","From","NA","nest 22"
"2020/12/23 10:29:18 AM CET","Interaction","","","","","un","un","Touching","NA","NA","nest 22"
"2020/12/23 10:29:43 AM CET","Interaction","","","","","un","T50","Displacement","From","From","nest 22"
"2020/12/23 10:30:05 AM CET","Interaction","","","","","un","T78","Displacement","From","From","nest 22"
"2020/12/23 10:37:53 AM CET","Group","2","Nest","Perched","un, un","","","","","","nest 2"
"2020/12/23 10:38:20 AM CET","Interaction","","","","","un","un","Touching","NA","NA","nest 2"
"2020/12/23 10:50:12 AM CET","Interaction","","","","","un","un","Touching","NA","NA","nest 2"
"2020/12/23 10:50:42 AM CET","Group","5","Palm tree","Perched","S27, un, un, un, un","","","","","","nest 4"
"2020/12/23 10:51:07 AM CET","Interaction","","","","","S27","un","Preening","From","NA","nest 4"
"2020/12/23 10:56:38 AM CET","Group","6","Palm tree","Perched","T90, T63, un, un, un","","","","","","nest 5"
"2020/12/23 10:57:21 AM CET","Interaction","","","","","T90","T63","Preening","From","NA","nest 5"
"2020/12/23 10:57:47 AM CET","Interaction","","","","","un","un","Preening","NA","NA","nest 5"
"2020/12/23 11:09:19 AM CET","Interaction","","","","","un","un","Preening","NA","NA","nest 5"
"2020/12/23 11:09:44 AM CET","Group","1","Palm tree","Foraging","J13","","","","","","nest 7"
"2020/12/23 11:20:31 AM CET","Group","2","Palm tree","Perched","T49, un","","","","","","nest 11"
"2020/12/23 11:23:21 AM CET","Group","2","Nest","Perched","T24, un","","","","","","nest 12"
"2020/12/23 11:23:48 AM CET","Interaction","","","","","T24","un","Preening","From","NA","nest 12"
"2020/12/24 12:41:01 PM CET","Interaction","","","","","T24","un","Preening","From","NA","nest 12"
"2020/12/31 10:13:39 AM CET","Interaction","","","","","T24","un","Preening","From","NA","nest 12"
