"Tidsstempel","What?","Group size","Where?","How?","Who? (2 m or whole tree)","From","To","Type","Started by","Won by","Copy paste waypoint name"
"2020/11/17 11:31:37 AM CET","Group","3","Nest","Perched","un, un, un","","","","","","nest 22"
"2020/11/18 8:21:34 AM CET","Group","3","Nest","Perched","un, un, un","","","","","","nest 22"
"2020/11/18 8:49:21 AM CET","Group","2","Deciduous tree","Perched","E71, X","","","","","","27"
"2020/11/18 8:51:16 AM CET","Group","4","Deciduous tree","Perched","E71, T27, I77, un","","","","","","27"
"2020/11/18 8:51:49 AM CET","Interaction","","","","","E71, T27","I77","Fight","From","From","27"
"2020/11/18 9:22:46 AM CET","Group","5","Ground","Foraging","M12, T86, E41, un, un","","","","","","47"
"2020/11/18 9:23:47 AM CET","Interaction","","","","","M12, T86, un","E41, un","10 cm group","NA","NA","47"
"2020/11/18 9:38:32 AM CET","Group","30","Ground","Foraging","H43, I06, P75, K52, H67, S48, J21, J78, E87, T27, I12, M12, E41, T86, I80, H40, un, D39, un, un, un, un, un, un, un, un, un, un, un, un","","","","","","47"
"2020/11/18 9:41:09 AM CET","Interaction","","","","","H43, I06, P75, un, un, un","K52, H67, S48, un, un, un","10 cm group","NA","NA","47"
"2020/11/18 9:42:20 AM CET","Interaction","","","","","J21, un, un","J78, D39, un","10 cm group","NA","NA","47"
"2020/11/18 9:43:22 AM CET","Interaction","","","","","E87, T27","I12, un, un","10 cm group","NA","NA","47"
"2020/11/18 9:44:11 AM CET","Interaction","","","","","I80, H40","un, un","10 cm group","NA","NA","47"
"2020/11/18 9:44:48 AM CET","Interaction","","","","","T27","un, un","Displacement","From","From","47"
"2020/11/18 10:47:47 AM CET","Interaction","","","","","T27","un, un","Displacement","From","From","47"
"2020/11/19 8:05:12 AM CET","Interaction","","","","","T27","un, un","Displacement","From","From","47"
"2020/11/19 8:49:17 AM CET","Group","2","Pine tree","Foraging","J80, un","","","","","","34"
"2020/11/19 8:55:41 AM CET","Group","3","Pine tree","Perched","K52, un, un","","","","","","34"
"2020/11/19 8:56:25 AM CET","Interaction","","","","","un","K52","Fight","From","From","34"
"2020/11/19 9:02:39 AM CET","Interaction","","","","","PX9","J71","Displacement","From","From","34"
"2020/11/19 9:04:17 AM CET","Group","2","Pine tree","Foraging","C54, L80","","","","","","34"
"2020/11/19 9:11:25 AM CET","Group","2","Nest","Perched","un, un","","","","","","nest 34"
"2020/11/19 9:12:39 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","nest 34"
"2020/11/19 9:22:47 AM CET","Group","4","Deciduous tree","Perched","E84,I06, X, un","","","","","","48"
"2020/11/19 9:30:45 AM CET","Group","4","Grass","Foraging","T74, un, un, un","","","","","","49"
"2020/11/19 9:35:03 AM CET","Group","3","Pine tree","Perched","S48, un, un","","","","","","50"
"2020/11/19 9:40:15 AM CET","Group","3","Pine tree","Perched","S48, un, un","","","","","","50"
"2020/11/19 9:40:51 AM CET","Group","3","Deciduous tree","Perched","G73, E93, un","","","","","","51"
"2020/11/19 9:41:46 AM CET","Interaction","","","","","G73","E93","10 cm group","NA","NA","51"
"2020/11/19 9:55:19 AM CET","Interaction","","","","","G73","E93","10 cm group","NA","NA","51"
"2020/11/19 9:57:22 AM CET","Group","15","Ground","Foraging","S30, S02, I80, T03, H87, T27, E87,  X, X , X, un, un, un, un, un","","","","","","47"
"2020/11/19 9:58:13 AM CET","Interaction","","","","","S03","S30","10 cm group","From","NA","47"
"2020/11/19 9:58:51 AM CET","Interaction","","","","","T03","I80","10 cm group","From","NA","47"
"2020/11/19 9:59:32 AM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/19 10:12:04 PM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/20 8:20:54 AM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/20 9:17:17 AM CET","Interaction","","","","","T27","X","Fight","To","From","47"
"2020/11/20 9:19:54 AM CET","Group","2","Palm tree","Perched","U20, un","","","","","","nest 15"
"2020/11/20 9:27:44 AM CET","Group","2","Palm tree","Perched","U20, un","","","","","","nest 15"
"2020/11/20 9:28:18 AM CET","Group","2","Palm tree","Perched","KX, un","","","","","","nest 14"
"2020/11/20 9:38:14 AM CET","Group","2","Palm tree","Perched","KX, un","","","","","","nest 14"
"2020/11/20 9:38:43 AM CET","Group","1","Palm tree","Perched","J43","","","","","","nest 18"
"2020/11/20 9:43:19 AM CET","Group","1","Palm tree","Perched","J43","","","","","","nest 18"
"2020/11/20 9:43:53 AM CET","Group","2","Nest","Perched","R87, un","","","","","","nest 20"
"2020/11/20 9:44:27 AM CET","Interaction","","","","","R87","un","Touching","From","NA","nest 20"
"2020/11/20 9:50:45 AM CET","Interaction","","","","","R87","un","Touching","From","NA","nest 20"
"2020/11/20 9:51:16 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/22 7:10:31 PM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/23 11:40:12 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/23 10:01:48 PM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/24 9:02:57 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/24 9:11:12 AM CET","Group","4","Palm tree","Perched","T30, un, un, un","","","","","","nest 2"
"2020/11/24 9:11:45 AM CET","Group","2","Nest","Perched","H51, un","","","","","","nest 24"
"2020/11/24 9:12:26 AM CET","Interaction","","","","","H51","un","Touching","From","NA","nest 24"
"2020/11/24 9:13:27 AM CET","Group","2","Ground","Drinking","S57, un","","","","","","52"
"2020/11/24 9:14:11 AM CET","Group","3","Deciduous tree","Perched","L08, P69, un","","","","","","52"
"2020/11/24 9:14:47 AM CET","Interaction","","","","","L08","P69","Displacement","From","From","52"
"2020/11/24 9:17:36 AM CET","Interaction","","","","","L08","P69","Displacement","From","From","52"
"2020/11/24 9:20:01 AM CET","Group","4","Ground","Drinking","S57, P69, P76, S32","","","","","","38"
"2020/11/24 9:20:34 AM CET","Interaction","","","","","P69","S57","Touching","From","NA","38"
"2020/11/24 9:21:08 AM CET","Interaction","","","","","P76","S32","Touching","From","NA","38"
"2020/11/24 9:21:44 AM CET","Interaction","","","","","P69","P76","Displacement","From","From","38"
"2020/11/24 9:22:43 AM CET","Group","4","Ground","Perched","E93, K33, J02, G73","","","","","","38"
"2020/11/24 10:02:46 AM CET","Group","2","Deciduous tree","Perched","J71, E59","","","","","","53"
"2020/11/24 10:16:10 AM CET","Group","2","Deciduous tree","Perched","J71, E59","","","","","","53"
"2020/11/24 10:16:50 AM CET","Group","4","Deciduous tree","Perched","S10, S09, un, un","","","","","","37"
"2020/11/24 10:17:33 AM CET","Interaction","","","","","S09","S10","Preening","From","NA","37"
"2020/11/24 10:18:16 AM CET","Interaction","","","","","S09","un","Pecking","From","From","37"
"2020/11/24 10:21:40 AM CET","Group","3","Palm tree","Foraging","L15, X, X","","","","","","37"
"2020/11/24 10:26:39 AM CET","Group","2","Deciduous tree","Perched","T92, S06","","","","","","37"
"2020/11/25 8:29:24 AM CET","Group","2","Deciduous tree","Perched","T92, S06","","","","","","37"
"2020/11/25 8:36:27 AM CET","Group","3","Ground","Foraging","K41, H40, un","","","","","","54"
"2020/11/25 8:48:06 AM CET","Interaction","","","","","K41","un","Preening","From","NA","55"
"2020/11/25 8:50:38 AM CET","Group","4","Deciduous tree","Perched","K41, un, un, X","","","","","","55"
"2020/11/25 9:23:29 AM CET","Group","8","Ground","Drinking","S49, k75, k48, un, un, un, un, un","","","","","","8"
"2020/11/25 9:25:00 AM CET","Group","10","Ground","Drinking","P12, J56, M12, S04, H86, T21, un, un, un, un","","","","","","8"
"2020/11/25 9:25:32 AM CET","Interaction","","","","","K48","K75","10 cm group","From","NA","8"
"2020/11/25 9:26:02 AM CET","Interaction","","","","","K75","un","Pecking","From","From","8"
"2020/11/25 9:26:30 AM CET","Interaction","","","","","K48","un","Pecking","From","From","8"
"2020/11/25 9:26:57 AM CET","Interaction","","","","","P12","J56","10 cm group","From","NA","8"
"2020/11/25 9:52:02 AM CET","Group","7","Grass","Foraging","R20, S07, S16, X, X, un, un","","","","","","35"
"2020/11/26 8:44:19 AM CET","Group","7","Grass","Foraging","R20, S07, S16, X, X, un, un","","","","","","35"
"2020/11/26 8:44:53 AM CET","Group","4","Deciduous tree","Perched","K56, S40, S37, un","","","","","","56"
"2020/11/26 8:45:28 AM CET","Interaction","","","","","S40","S37","10 cm group","From","NA","56"
"2020/11/26 9:32:27 AM CET","Interaction","","","","","S40","S37","10 cm group","From","NA","56"
"2020/11/26 9:38:52 AM CET","Group","9","Pine tree","Perched","K67, X, un, un, un, un, un, un, un","","","","","","nest 36"
"2020/11/26 9:39:28 AM CET","Interaction","","","","","K67","un","Preening","From","NA","nest 36"
"2020/11/26 9:51:32 AM CET","Group","5","Pine tree","Perched","S49, T74, uk, uk, uk","","","","","","57"
"2020/11/26 10:05:59 AM CET","Group","2","Deciduous tree","Perched","J70, T69","","","","","","58"
"2020/11/26 10:23:24 AM CET","Group","9","Grass","Foraging","S24, S09, S30, T99, un, un, un, un, un","","","","","","59"
"2020/11/26 10:24:03 AM CET","Interaction","","","","","S09","S24","Displacement","From","From","59"
"2020/11/26 10:24:43 AM CET","Interaction","","","","","S09","S30","Displacement","From","From","59"
"2020/11/26 10:26:02 AM CET","Group","7","Grass","Foraging","K52, S10,S04, un, un, un, un","","","","","",""
"2020/11/27 9:14:19 AM CET","Group","2","Palm tree","Perched","uk, uk","","","","","","21"
"2020/11/27 9:17:12 AM CET","Group","2","Palm tree","Perched","un, un","","","","","","nest 16"
"2020/11/27 9:26:38 AM CET","Group","2","Palm tree","Perched","S07, R20","","","","","","nest 14"
"2020/11/27 9:47:33 AM CET","Group","4","Nest","Perched","un, un, JX, T49, ","","","","","","nest 21"
"2020/11/27 9:51:24 AM CET","Group","4","Nest","Perched","un, un, JX, T49, ","","","","","","nest 21"
"2020/11/27 9:52:08 AM CET","Group","5","Palm tree","Perched","un, un, un, un, un","","","","","","nest 2"
"2020/11/27 9:52:41 AM CET","Interaction","","","","","un","un","Preening","NA","NA","nest 2"
"2020/11/27 9:58:51 AM CET","Group","4","Palm tree","Perched","un, un, un, X","","","","","","nest 4"
"2020/11/27 9:59:17 AM CET","Group","1","Nest","Perched","E36","","","","","","nest 4"
"2020/11/27 9:59:41 AM CET","Interaction","","","","","un","un","Touching","NA","NA","nest 4"
"2020/11/27 10:05:03 AM CET","Group","5","Palm tree","Perched","T90, un, un, un, un","","","","","","nest 5"
"2020/11/27 10:07:24 AM CET","Group","1","Nest","Perched","T63","","","","","","nest 5"
"2020/12/01 8:41:05 AM CET","Group","1","Nest","Perched","T63","","","","","","nest 5"
"2020/12/01 8:59:31 AM CET","Group","1","Nest","Perched","T63","","","","","","nest 5"
"2020/12/01 9:00:17 AM CET","Group","3","Palm tree","Perched","un, un, un","","","","","","17"
"2020/12/01 9:21:34 AM CET","Group","5","Deciduous tree","Perched","I00, J24, K56, S09, un","","","","","","60"
"2020/12/01 9:22:24 AM CET","Group","2","Deciduous tree","Perched","K76, un","","","","","","60"
"2020/12/01 9:22:50 AM CET","Interaction","","","","","K76","un","Touching","NA","NA","60"
"2020/12/01 9:23:21 AM CET","Group","2","Deciduous tree","Perched","L22, un","","","","","","60"
"2020/12/01 9:23:49 AM CET","Interaction","","","","","L22","un","Preening","From","NA","60"
"2020/12/01 9:38:17 AM CET","Group","4","Deciduous tree","Perched","S40, S55, S36, H43","","","","","","61"
"2020/12/01 9:46:10 AM CET","Group","2","Deciduous tree","Perched","S17, S40","","","","","","59"
"2020/12/01 9:54:19 AM CET","Group","2","Deciduous tree","Perched","S17, S40","","","","","","59"
"2020/12/01 9:57:33 AM CET","Group","9","Deciduous tree","Perched","H40, T44, J52, un, un, un, un, un, un","","","","","","62"
"2020/12/01 9:57:59 AM CET","Interaction","","","","","un","un","Preening","NA","NA","62"
"2020/12/01 10:06:43 AM CET","Group","6","Deciduous tree","Perched","E88, E87, S47, un, un, un","","","","","","63"
"2020/12/01 10:07:21 AM CET","Interaction","","","","","E88","E87","Beek fight (when they peck each other during preening)","To","To","63"
"2020/12/01 10:07:51 AM CET","Interaction","","","","","S46","un","Preening","NA","NA","63"
"2020/12/01 10:59:38 AM CET","Interaction","","","","","S46","un","Preening","NA","NA","63"
"2020/12/02 9:10:08 AM CET","Interaction","","","","","S46","un","Preening","NA","NA","63"
"2020/12/02 10:00:59 AM CET","Group","3","Deciduous tree","Perched","un, un, X","","","","","","64"
"2020/12/02 10:10:23 AM CET","Group","2","Deciduous tree","Perched","L35, un","","","","","","65"
"2020/12/02 10:18:29 AM CET","Group","2","Deciduous tree","Foraging","un, un","","","","","","66"
"2020/12/02 10:23:08 AM CET","Group","3","Deciduous tree","Perched","S52, un, un","","","","","","67"
"2020/12/02 10:47:04 AM CET","Group","2","Nest","Perched","T44, un","","","","","","nest 35"
"2020/12/02 10:47:34 AM CET","Interaction","","","","","T44","un","Touching","NA","NA","nest 35"
"2020/12/03 8:58:06 AM CET","Interaction","","","","","T44","un","Touching","NA","NA","nest 35"
"2020/12/03 9:34:09 AM CET","Group","4","Deciduous tree","Perched","un, un, un, un","","","","","","68"
"2020/12/03 9:34:31 AM CET","Interaction","","","","","un","un","Preening","NA","NA","68"
"2020/12/03 9:34:49 AM CET","Interaction","","","","","un","un","Touching","NA","NA","68"
"2020/12/03 9:46:24 AM CET","Group","2","Deciduous tree","Perched","I28, L61","","","","","","69"
"2020/12/03 9:52:46 AM CET","Group","2","Deciduous tree","Foraging","T54, un","","","","","","70"
"2020/12/03 10:14:10 AM CET","Group","2","Deciduous tree","Perched","un, un","","","","","","71"
"2020/12/03 10:14:30 AM CET","Interaction","","","","","un","un","Preening","NA","NA","71"
"2020/12/03 10:26:36 AM CET","Group","17","Grass","Foraging","J52, T80, S48, S30, D39, T94, S40, X, X, un, un, un, un, un, un, un, un","","","","","","72"
"2020/12/03 10:27:24 AM CET","Interaction","","","","","T94","S40","Displacement","From","From","72"
"2020/12/03 10:27:50 AM CET","Interaction","","","","","un","un","Fight","NA","NA","72"
"2020/12/03 10:28:23 AM CET","Interaction","","","","","X","X","10 cm group","NA","NA","72"
"2020/12/03 10:28:50 AM CET","Interaction","","","","","X","un","10 cm group","NA","NA","72"
"2020/12/03 10:29:34 AM CET","Interaction","","","","","T94","un","10 cm group","NA","NA","72"
"2020/12/03 10:47:08 AM CET","Group","11","Grass","Foraging","S15, S40, S51, un, un, un, un, un, un, un, un","","","","","","73"
"2020/12/03 10:47:37 AM CET","Interaction","","","","","S15","un","10 cm group","From","NA","73"
"2020/12/03 10:48:03 AM CET","Interaction","","","","","un","un","Fight","NA","NA","73"
"2020/12/03 10:48:29 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","73"
"2020/12/03 11:25:05 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","73"
"2020/12/04 9:21:04 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","73"
"2020/12/04 9:37:04 AM CET","Group","16","Ground","Foraging","S41, R18, S21, S07, R20, R83, S43,U20, K70, E01, un, un, un, un, un, un","","","","","","74"
"2020/12/04 9:37:45 AM CET","Interaction","","","","","S43","S21","10 cm group","To","NA","74"
"2020/12/04 9:38:12 AM CET","Interaction","","","","","S21","un","Displacement","From","From","74"
"2020/12/04 9:38:45 AM CET","Interaction","","","","","U20","K70","10 cm group","To","NA","74"
"2020/12/04 9:41:14 AM CET","Group","1","Ground","Drinking","T71","","","","","","75"
"2020/12/04 9:52:10 AM CET","Group","2","Nest","Perched","K80, un","","","","","","nest 16"
"2020/12/04 9:57:22 AM CET","Group","3","Palm tree","Perched","J43,X, un","","","","","","76"
"2020/12/04 10:04:05 AM CET","Group","2","Palm tree","Perched","T81, un","","","","","","nest 19"
"2020/12/04 10:10:40 AM CET","Group","2","Nest","Perched","R87, un","","","","","","nest 20"
"2020/12/04 10:21:02 AM CET","Group","3","Palm tree","Perched","un, un, un","","","","","","nest 22"
"2020/12/04 10:29:03 AM CET","Group","3","Palm tree","Perched","un, un, un","","","","","","nest 22"
"2020/12/04 10:29:37 AM CET","Group","5","Nest","Perched","un, un, un, un, un","","","","","","nest 2"
"2020/12/04 10:30:06 AM CET","Interaction","","","","","un","un","Touching","NA","NA","nest 2"
"2020/12/04 10:30:38 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","nest 2"
"2020/12/04 10:31:03 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","nest 2"
"2020/12/04 10:40:18 AM CET","Group","8","Nest","Perched","M38, un, un, un, un, un, un","","","","","","nest 3"
"2020/12/04 10:40:40 AM CET","Interaction","","","","","un","un","Touching","NA","NA","nest 3"
"2020/12/04 10:41:08 AM CET","Interaction","","","","","un","Un","Touching","NA","NA","nest 3"
"2020/12/04 10:46:20 AM CET","Interaction","","","","","un","Un","Touching","NA","NA","nest 3"
"2020/12/04 10:47:02 AM CET","Group","2","Nest","Perched","E36, un","","","","","","nest 4"
"2020/12/04 10:55:47 AM CET","Group","1","Palm tree","Perched","un","","","","","","nest 6"
"2020/12/04 11:00:03 AM CET","Group","3","Palm tree","Perched","J46, un, un","","","","","","nest 7"
"2020/12/04 11:00:32 AM CET","Interaction","","","","","J46","un","Displacement","From","From","nest 7"
"2020/12/04 2:25:09 PM CET","Interaction","","","","","J46","un","Displacement","From","From","nest 7"
"2020/12/05 8:58:17 PM CET","Interaction","","","","","J46","un","Displacement","From","From","nest 7"
"2020/12/07 10:04:03 AM CET","Interaction","","","","","J46","un","Displacement","From","From","nest 7"
"2020/12/07 10:16:07 AM CET","Group","4","Grass","Foraging","S46, S45, un, un","","","","","","77"
"2020/12/07 10:16:36 AM CET","Interaction","","","","","S45","S46","10 cm group","From","NA","77"
"2020/12/07 10:17:06 AM CET","Interaction","","","","","S45","S46","10 cm group","From","NA","77"
"2020/12/07 10:17:32 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","77"
"2020/12/07 10:21:41 AM CET","Group","5","Deciduous tree","Perched","L22, I87, un, un, un","","","","","","78"
"2020/12/07 10:36:21 AM CET","Group","5","Deciduous tree","Perched","L22, I87, un, un, un","","","","","","78"
"2020/12/07 10:37:46 AM CET","Group","4","Pine tree","Perched","G73, E93, XX3, uk","","","","","","nest 25"
"2020/12/07 10:41:17 AM CET","Interaction","","","","","G73","E93","Touching","NA","NA","nest 25"
"2020/12/07 10:41:54 AM CET","Interaction","","","","","XX3","uk","Touching","NA","NA","nest 25"
"2020/12/07 10:56:57 AM CET","Group","1","Deciduous tree","Perched","J24","","","","","","79"
"2020/12/07 10:57:24 AM CET","Group","2","Grass","Foraging","un, un","","","","","","80"
"2020/12/07 11:09:25 AM CET","Group","3","Palm tree","Perched","K96, un, un","","","","","","81"
"2020/12/07 11:13:13 AM CET","Group","5","Deciduous tree","Perched","T48, S25, un, un, un","","","","","","82"
"2020/12/07 11:26:40 AM CET","Group","2","Deciduous tree","Perched","L53, un","","","","","","83"
"2020/12/07 11:33:19 AM CET","Group","1","Deciduous tree","Perched","E45","","","","","","84"
"2020/12/09 9:08:52 AM CET","Group","1","Deciduous tree","Perched","E45","","","","","","84"
"2020/12/09 9:42:25 AM CET","Group","3","Deciduous tree","Perched","E59, un, un","","","","","","85"
"2020/12/09 9:42:51 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","85"
"2020/12/09 9:46:26 AM CET","Group","4","Deciduous tree","Perched","S09, S10, un, un","","","","","","86"
"2020/12/09 9:46:52 AM CET","Interaction","","","","","S10","S09","Preening","From","NA","86"
"2020/12/09 10:11:02 AM CET","Group","11","Grass","Foraging","I06, I80, T03, H43, G73, J03, I94, S26, T99, R86, un","","","","","","87"
"2020/12/09 10:29:58 AM CET","Group","3","Deciduous tree","Perched","S31, un, un","","","","","","88"
"2020/12/09 10:42:40 AM CET","Group","3","Nest","Perched","un, un, un","","","","","","nest 34"
"2020/12/09 10:43:13 AM CET","Interaction","","","","","un","un","Touching","NA","NA","nest 34"
"2020/12/09 10:51:51 AM CET","Group","3","Palm tree","Perched","S01, un, uk","","","","","","89"
"2020/12/09 10:52:20 AM CET","Interaction","","","","","S01","un","10 cm group","From","NA","89"
"2020/12/09 11:00:57 AM CET","Interaction","","","","","S01","un","10 cm group","From","NA","89"
"2020/12/10 9:10:31 AM CET","Interaction","","","","","S01","un","10 cm group","From","NA","89"
"2020/12/10 9:22:15 AM CET","Group","12","Ground","Foraging","S11, S15, S34, R83, X, un, un, un, un, un, un, un","","","","","","90"
"2020/12/10 9:22:39 AM CET","Interaction","","","","","un","S15","10 cm group","From","NA","90"
"2020/12/10 9:23:13 AM CET","Interaction","","","","","un","X","Displacement","From","From","90"
"2020/12/10 9:36:17 AM CET","Group","3","Palm tree","Perched","S48, J71, H67","","","","","","91"
"2020/12/10 9:46:55 AM CET","Group","8","Grass","Foraging","E87, T97, S11, un, un, un, un, un","","","","","","92"
"2020/12/10 9:47:26 AM CET","Interaction","","","","","S11","un","Displacement","From","From","92"
"2020/12/10 9:47:50 AM CET","Interaction","","","","","un","un","10 cm group","NA","NA","92"
"2020/12/10 9:58:14 AM CET","Group","11","Grass","Foraging","P51, K52, P75, H43, S15, un, un, un, un, un, un","","","","","","93"
"2020/12/10 9:59:00 AM CET","Interaction","","","","","K52","P51","Displacement","From","From","93"
"2020/12/10 9:59:30 AM CET","Interaction","","","","","K52","P75","10 cm group","To","NA","93"
"2020/12/10 10:00:09 AM CET","Interaction","","","","","H43","un","10 cm group","NA","NA","93"
"2020/12/10 10:00:35 AM CET","Interaction","","","","","un","S15","Displacement","From","From","93"
"2020/12/10 10:16:32 AM CET","Group","2","Pine tree","Perched","S49, K48","","","","","","94"
"2020/12/10 10:24:36 AM CET","Group","1","Deciduous tree","Perched","T86","","","","","","95"
"2020/12/10 10:39:02 AM CET","Group","2","Nest","Perched","un, un","","","","","","96"
"2020/12/10 10:39:32 AM CET","Interaction","","","","","un","un","Preening","NA","NA","96"
"2020/12/10 11:28:29 AM CET","Interaction","","","","","un","un","Preening","NA","NA","96"
"2020/12/11 9:19:28 AM CET","Interaction","","","","","un","un","Preening","NA","NA","96"
"2020/12/11 9:20:40 AM CET","Interaction","","","","","un","un","Preening","NA","NA","96"
"2020/12/11 9:21:12 AM CET","Group","3","Palm tree","Perched","I49, un, un","","","","","","nest 11"
"2020/12/11 9:21:40 AM CET","Interaction","","","","","un","I49","Preening","From","NA","nest 11"
"2020/12/11 9:47:34 AM CET","Interaction","","","","","un","I49","Preening","From","NA","nest 11"
"2020/12/11 9:48:07 AM CET","Group","2","Palm tree","Perched","T50,T78","","","","","","nest 2"
"2020/12/11 9:57:16 AM CET","Group","2","Deciduous tree","Perched","J14, un","","","","","","96"
"2020/12/11 10:11:03 AM CET","Group","2","Deciduous tree","Perched","J14, un","","","","","","96"
"2020/12/11 10:11:49 AM CET","Group","2","Palm tree","Perched","L35, M38","","","","","","nest 14"
"2020/12/14 11:06:16 AM CET","Group","2","Palm tree","Perched","L35, M38","","","","","","nest 14"
"2020/12/14 11:30:54 AM CET","Group","5","Nest","Perched","L22, S17, S57, P69, uk","","","","","","nest 24"
"2020/12/14 11:31:48 AM CET","Interaction","","","","","S17","S57","Preening","From","NA","nest 24"
"2020/12/14 11:32:16 AM CET","Interaction","","","","","P69","uk","Touching","From","NA","nest 24"
"2020/12/14 11:37:52 AM CET","Group","12","Deciduous tree","Perched","N77, I87, H83, L15, J41, E93, L09, K76, un, un, uk, uk, uk","","","","","","97"
"2020/12/14 12:16:44 PM CET","Group","3","Palm tree","Perched","K56, un, un","","","","","","98"
"2020/12/14 12:31:55 PM CET","Group","3","Palm tree","Perched","K56, un, un","","","","","","98"
"2020/12/14 12:32:36 PM CET","Group","5","Deciduous tree","Perched","J80, un, un, un, un","","","","","","99"
"2020/12/14 12:32:55 PM CET","Interaction","","","","","un","un","Preening","NA","NA","99"
"2020/12/14 1:39:00 PM CET","Group","3","Palm tree","Perched","H87, K46, un","","","","","","100"
"2020/12/14 1:39:32 PM CET","Interaction","","","","","H87","K46","Touching","NA","NA","100"
"2020/12/14 8:24:35 PM CET","Interaction","","","","","H87","K46","Touching","NA","NA","100"
"2020/12/15 9:30:07 AM CET","Interaction","","","","","H87","K46","Touching","NA","NA","100"
"2020/12/15 9:38:40 AM CET","Interaction","","","","","H87","K46","Touching","NA","NA","100"
"2020/12/15 9:39:27 AM CET","Group","6","Deciduous tree","Perched","E93, T88, G73, S34, R83, T96","","","","","","101"
"2020/12/15 9:40:02 AM CET","Interaction","","","","","S34","R83","Preening","NA","NA","101"
"2020/12/15 10:04:26 AM CET","Group","2","Deciduous tree","Perched","un, un","","","","","","102"
"2020/12/15 10:21:14 AM CET","Group","1","Deciduous tree","Perched","S06","","","","","","103"
"2020/12/15 10:21:38 AM CET","Group","1","Deciduous tree","Perched","T92","","","","","","104"
"2020/12/15 10:31:09 AM CET","Group","1","Deciduous tree","Perched","T92","","","","","","104"
"2020/12/15 10:31:34 AM CET","Group","2","Deciduous tree","Perched","P75, un","","","","","","105"
"2020/12/15 10:40:05 AM CET","Group","3","Deciduous tree","Perched","S55, S36, un","","","","","","106"
"2020/12/15 10:40:29 AM CET","Interaction","","","","","S55","S36","10 cm group","NA","NA","106"
"2020/12/15 10:53:29 AM CET","Interaction","","","","","S55","S36","10 cm group","NA","NA","106"
"2020/12/15 10:54:07 AM CET","Group","5","Grass","Foraging","S24, T30, S30, un, uk","","","","","","107"
"2020/12/15 10:54:38 AM CET","Interaction","","","","","T30","S24","10 cm group","From","NA","107"
"2020/12/15 10:55:04 AM CET","Interaction","","","","","T30","uk","Fight","From","From","107"
